AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.14102.6,0.02900990986204012,10.546890865793587,0.3871746483926584,0.7046056894720973,0.869684072420518,-5.01612064637949,Granulysin,Granulysin,GNLY,10578,P22749,0.5,Arterial > Venous,FALSE,FALSE
seq.21183.1,-0.03435268419625112,7.449935807148882,-0.3869520878866772,0.7048478602611049,0.8698394659540294,-5.01613549379608,DUS10,Dual specificity protein phosphatase 10,DUSP10,11221,Q9Y6W6,20,Venous > Arterial,FALSE,FALSE
seq.8470.213,-0.03255977358033432,6.865426411600054,-0.3862617087509545,0.7053470676923352,0.8701780966921194,-5.0163074861547665,RNase H1,Ribonuclease H1,RNASEH1,246243,O60930,20,Venous > Arterial,FALSE,FALSE
seq.24937.7,0.027617159647284808,10.01966965290201,0.3861658504973489,0.7053548961824638,0.8701780966921194,-5.016362062500304,RHG26,Rho GTPase-activating protein 26,ARHGAP26,23092,Q9UNA1,20,Arterial > Venous,FALSE,FALSE
seq.12844.10,-0.03863954325505761,9.568374526864291,-0.3859786962148768,0.7055517526086279,0.8702774379662235,-5.01637790628813,BAG4,BAG family molecular chaperone regulator 4,BAG4,9530,O95429,20,Venous > Arterial,FALSE,FALSE
seq.9532.5,-0.02964465801450383,9.602417732891437,-0.3855643632460148,0.7058341960193217,0.8704822981240596,-5.016489525321205,WBP1L,WW domain binding protein 1-like,WBP1L,54838,Q9NX94,20,Venous > Arterial,FALSE,FALSE
seq.20984.142,0.02961187209949059,9.437718304208056,0.38515494365144903,0.706137840223605,0.8707132326871253,-5.016587485370606,DUS19,Dual specificity protein phosphatase 19,DUSP19,142679,Q8WTR2,20,Arterial > Venous,FALSE,FALSE
seq.8336.267,-0.03614545734774769,10.47963955320691,-0.3846058795414923,0.7065449602510945,0.8710716624321749,-5.016718785034203,GRM1C,GRAM domain-containing protein 1C,GRAMD1C,54762,Q8IYS0,20,Venous > Arterial,FALSE,FALSE
seq.9750.7,-0.017598935998957933,9.211187766897853,-0.3842913577823773,0.706687701244793,0.871104085189042,-5.016838988496896,S100A4,Protein S100-A4,S100A4,6275,P26447,20,Venous > Arterial,FALSE,FALSE
seq.15545.13,-0.04289467803019854,12.096771787366906,-0.38333905591692635,0.7074324224163846,0.8717494933976875,-5.017046995590644,Calcineurin B a,Calcineurin subunit B type 1,PPP3R1,5534,P63098,20,Venous > Arterial,FALSE,FALSE
seq.6236.51,-0.018854477576165415,9.494063703012133,-0.3832465183894828,0.7074443489396285,0.8717494933976875,-5.017097233736022,CTHR1,Collagen triple helix repeat-containing protein 1,CTHRC1,115908,Q96CG8,20,Venous > Arterial,FALSE,FALSE
seq.21114.18,0.032908450067748785,7.811867217265898,0.38306030101619526,0.7076638249176921,0.8718763297446072,-5.017101152135587,DJC12,DnaJ homolog subfamily C member 12,DNAJC12,56521,Q9UKB3,20,Arterial > Venous,FALSE,FALSE
seq.22041.26,-0.07005878540709587,15.121234861094633,-0.38248080164861736,0.7080835137975583,0.8722497557581975,-5.01724413197682,MP2K5,Dual specificity mitogen-activated protein kinase kinase 5,MAP2K5,5607,Q13163,20,Venous > Arterial,FALSE,FALSE
seq.5088.175,-0.030666963970003607,10.782248755256717,-0.3816300233370892,0.7086289918053313,0.8726960756384949,-5.017488792736659,IL-23 R,Interleukin-23 receptor,IL23R,149233,Q5VWK5,20,Venous > Arterial,FALSE,FALSE
seq.20231.23,0.02424908174160452,8.933445359676227,0.3814835670241905,0.7087511954461003,0.8726960756384949,-5.017516836661825,UPP2,Uridine phosphorylase 2,UPP2,151531,O95045,20,Arterial > Venous,FALSE,FALSE
seq.22375.15,0.03833226369541631,8.57226347694275,0.38149760550836337,0.7087957967623975,0.8726960756384949,-5.017486235541096,HXA11,Homeobox protein Hox-A11,HOXA11,3207,P31270,20,Arterial > Venous,FALSE,FALSE
seq.12941.24,0.04295333299549858,7.3480612280509305,0.38122056239141283,0.7089965538034753,0.8727996081954581,-5.017554345845496,Fc_MOUSE,Fc_MOUSE,,,Q99LC4,20,Arterial > Venous,FALSE,FALSE
seq.8369.102,-0.02711836911922609,9.044777035046085,-0.38042634356391963,0.7095561383599088,0.873344763256084,-5.0177572848232614,DAG1,Dystroglycan,DAG1,1605,Q14118,20,Venous > Arterial,FALSE,FALSE
seq.12880.1,0.023665534731671985,9.607480714729816,0.3799499867302509,0.7098337242500299,0.8735427029304941,-5.0179075404259414,SV2A,Synaptic vesicle glycoprotein 2A,SV2A,9900,Q7L0J3,20,Arterial > Venous,FALSE,FALSE
seq.21108.5,-0.033491621634582726,11.743457755354603,-0.3796524049038478,0.7100495728551064,0.8735974221242135,-5.017980353391607,CSTP1,Uncharacterized metallophosphoesterase CSTP1,CPPED1,55313,Q9BRF8,20,Venous > Arterial,FALSE,FALSE
seq.9493.56,0.04283882572702962,9.185705079794747,0.37950018954850573,0.710243711981504,0.8735974221242135,-5.017976220132105,Fc_MOUSE,Fc_MOUSE,,,Q99LC4,20,Arterial > Venous,FALSE,FALSE
seq.18228.30,0.0383758199608233,9.778502318475716,0.37926027718494026,0.7104177016732475,0.8735974221242135,-5.018034904946518,NOP16,Nucleolar protein 16,NOP16,51491,Q9Y3C1,20,Arterial > Venous,FALSE,FALSE
seq.3367.8,-0.020999856097428368,13.545513699331373,-0.37912190911780125,0.710434427978345,0.8735974221242135,-5.018110018865194,FETUB,Fetuin-B,FETUB,26998,Q9UGM5,0.005,Venous > Arterial,FALSE,FALSE
seq.11241.8,0.033233452316060744,12.999282239390483,0.3790838163225244,0.7104620660611837,0.8735974221242135,-5.018119322853691,ARLY,Argininosuccinate lyase,ASL,435,P04424,0.5,Arterial > Venous,FALSE,FALSE
seq.9074.6,-0.02992548964338892,8.809192188814256,-0.37838013244600266,0.7110561459377724,0.8741842280625267,-5.0182498881564195,CE004,Fatty acid hydroxylase domain-containing protein 2,FAXDC2,10826,Q96IV6,20,Venous > Arterial,FALSE,FALSE
seq.19742.3,-0.03498672737635035,12.026220328827806,-0.3774194992999149,0.7116700183206958,0.8743996335766915,-5.018524938248954,Septin-5,Septin-5,SEPTIN5,5413,Q99719,20,Venous > Arterial,FALSE,FALSE
seq.11608.5,0.048812703514897325,13.1975628160438,0.3775141392723364,0.7116845455100651,0.8743996335766915,-5.018460941514903,MLP3B,Microtubule-associated proteins 1A/1B light chain 3B,MAP1LC3B,81631,Q9GZQ8,20,Arterial > Venous,FALSE,FALSE
seq.9127.4,0.034158947160890074,7.268461422877135,0.37749806184219886,0.7116962140084404,0.8743996335766915,-5.0184648553470375,S26A5,Prestin,SLC26A5,375611,P58743,20,Arterial > Venous,FALSE,FALSE
seq.2229.54,-0.01825437561401315,11.300725828519028,-0.37726816795575985,0.7117798938211033,0.8743996335766915,-5.018561733674718,HCE003183,HCE003183,HCE003183,HCE003183,HCE003183,0,Venous > Arterial,FALSE,FALSE
seq.9394.19,-0.023364779075148702,12.54179122319187,-0.377218759009879,0.7118157690792744,0.8743996335766915,-5.0185737440982825,Aminopeptidase,Carboxypeptidase Q,CPQ,10404,Q9Y646,0.5,Venous > Arterial,FALSE,FALSE
seq.13588.11,0.03475785814543788,6.9161215955100275,0.37692516408271665,0.7121120544910119,0.8746199769573567,-5.018604213911522,ANXA9,Annexin A9,ANXA9,8416,O76027,20,Arterial > Venous,FALSE,FALSE
seq.9392.43,0.02471630939959879,10.774287684346175,0.37653843131447673,0.7123098192557583,0.8747112458753815,-5.01873896413444,MGT4A,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",MGAT4A,11320,Q9UM21,20,Arterial > Venous,FALSE,FALSE
seq.17747.45,0.04729996609386417,10.292672751218916,0.3764350008585444,0.7124679175250054,0.8747112458753815,-5.01872328401117,TRAF1,TNF receptor-associated factor 1,TRAF1,7185,Q13077,20,Arterial > Venous,FALSE,FALSE
