AptName,Spine_vs_Laparoscopic,Spine_vs_HeadNeck,Laparoscopic_vs_HeadNeck,AveExpr,F,P.Value,adj.P.Val,Target,EntrezGeneSymbol
seq.5335.73,-0.13184453539773058,-0.06665576004162041,0.06518877535611017,0.11514329297164243,0.06572828742045116,0.9366830850153274,0.9637589177598366,annexin VI,ANXA6
seq.5736.1,0.03706495936300913,-0.004859374423526928,-0.04192433378653606,-0.014321509639373767,0.06568014582565303,0.9367277447132014,0.9637589177598366,TRML2,TREML2
seq.9917.16,0.07503288509778196,-0.04444018915142722,-0.11947307424920918,0.11163146572792826,0.06556566073478645,0.9368339593569752,0.9637589177598366,Fc_MOUSE,
seq.20203.45,0.023771646172946487,-0.012468408321495341,-0.03624005449444183,-0.032791448864271544,0.06516541729331493,0.9372053977502012,0.9640084670107596,C1s,C1S
seq.11926.23,-0.05881281843118558,-0.07291837226722642,-0.01410555383604084,0.09349866252202273,0.06488727685183253,0.9374636203347999,0.9640169137176077,P34,AAGAB
seq.25481.66,0.03952269337635503,-0.03936162086503456,-0.07888431424138959,0.13727832211750876,0.06487896988997825,0.9374713336847474,0.9640169137176077,ATX10,ATXN10
seq.22114.4,0.01059847023975256,0.04047051004533788,0.02987203980558532,0.008391127876342885,0.06375942985384249,0.9385115388678993,0.9648979083407828,CR054,LAS2
seq.7989.5,-0.053215383831275456,0.08469844816489333,0.1379138319961688,-0.1568071801408871,0.06367931371308105,0.9385860284715781,0.9648979083407828,CA226,C1orf226
seq.5103.30,-0.019345444682261966,0.019658716440741388,0.03900416112300335,0.013630608590625037,0.06318876618232838,0.9390422730267605,0.9652277920332982,MO2R1,CD200R1
seq.12564.9,-0.0646379770193722,-0.07266817044978434,-0.008030193430412141,0.058129250995165936,0.06305689695217688,0.9391649643377058,0.9652277920332982,NIP7,NIP7
seq.15395.15,-0.05155882689025633,-0.00964490904225207,0.04191391784800426,0.08484098098839032,0.06257465285656841,0.9396138016550875,0.9655564354645204,GST M1-1,GSTM1
seq.7743.5,0.054996935994214374,-0.022096451343992865,-0.07709338733820724,0.08553508425633723,0.06206640148443774,0.9400871112235687,0.9659101330948383,TIM50,TIMM50
seq.23281.29,0.162315438973821,-0.036572781669861554,-0.19888822064368256,0.5010540697905598,0.0614927548495496,0.9406216490720709,0.9663266350876357,ARL8A,ARL8A
seq.18866.8,0.002608759051028274,-0.04084737064715451,-0.043456129698182785,0.065767466716387,0.06029127614231364,0.9417423473707245,0.967070582731481,CANB2,PPP3R2
seq.17512.2,0.08106169606736895,0.003929719754886582,-0.07713197631248236,-0.1115454632098789,0.06027292347509395,0.9417594779958625,0.967070582731481,NMI,NMI
seq.3220.40,0.02121259200253837,0.03587839796341781,0.014665805960879439,0.024618136448722645,0.060130136323889714,0.9418927696543634,0.967070582731481,RET,RET
seq.13268.45,0.0011756379815203548,-0.03612480610739696,-0.03730044408891732,-0.017949882945670275,0.05979496736493302,0.9422057346386006,0.967070582731481,WNT5A,WNT5A
seq.5227.60,0.09654929049939348,-0.06728107190125385,-0.16383036240064733,0.15310986436510735,0.059719068582651164,0.9422766219250802,0.967070582731481,PDK1,PDK1
seq.12522.6,-0.09848441606202313,-0.11058925753303478,-0.012104841471011651,-0.3482928793991788,0.059672790481524754,0.9423198473497763,0.967070582731481,RD23B,RAD23B
seq.7196.21,-0.03850546766173901,0.009266716151976072,0.047772183813715084,-0.026971752061213827,0.05966687429208277,0.9423253734493915,0.967070582731481,IFN-w,IFNW1
seq.9049.2,-0.05552238152486439,-0.017739042806628233,0.03778333871823616,0.0012713341135104361,0.05960842695471717,0.9423799690031409,0.967070582731481,MOT4,SLC16A3
seq.4498.62,0.029847153929431686,0.04418539939143805,0.014338245462006363,-0.1142626587103613,0.05883332381442749,0.9431043350168273,0.9676811864299665,NCAM-120,NCAM1
seq.7801.30,-0.03634703093365984,-0.01846855732663065,0.01787847360702919,-0.048093936042879225,0.05854402421546057,0.9433748613021045,0.9678221250848971,Fc_MOUSE,
seq.7873.32,0.05343370125601225,-0.0031151937184465336,-0.05654889497445879,0.007567481969418181,0.05828626828535343,0.943615965916992,0.9678221250848971,TSSK2,TSSK2
seq.19567.1,-0.04426831742696583,-0.01840439945991718,0.025863917967048653,-0.008195695985276252,0.058154419437970804,0.9437393245360155,0.9678221250848971,EGFRvIII,EGFR
seq.23376.56,-0.052943480880419724,-0.12434605542236482,-0.0714025745419451,0.3607820699702941,0.058133202556997984,0.9437591769140923,0.9678221250848971,ARPC2,ARPC2
seq.10645.72,-0.022460207832892133,0.026059136944605744,0.04851934477749788,0.04986104927618514,0.057834289722426616,0.9440389169959877,0.9679763072981065,Fc_MOUSE,
seq.6357.83,-0.027082051461982892,0.045068794775241366,0.07215084623722426,0.12020622348384864,0.05723071644408491,0.9446040663655644,0.9684067720498418,ELA3B,CELA3B
seq.11449.22,0.0751580474263322,-0.033360300217467775,-0.10851834764379997,-0.024707762572123333,0.05710947714513608,0.9447176343296011,0.9684067720498418,CAZA1,CAPZA1
seq.10677.9,0.06965469329137423,-0.03116206764364647,-0.1008167609350207,-0.07523355573583441,0.05694282907120905,0.9448737634443929,0.9684341175952189,NDUB4,NDUFB4
seq.11089.7,-0.038430882029479335,-0.024066305417606654,0.014364576611872681,-0.06452758801012637,0.055970820680175754,0.9457850084551775,0.969235294281258,IgA,IGHA1|IGHA2
seq.12016.60,0.08287249108641323,-0.02806384257504077,-0.110936333661454,0.14521907016863875,0.05571911620771533,0.9460211425187459,0.9693444962584219,CBL,CBL
seq.10451.11,-0.08460425524381943,-0.030309463628355376,0.05429479161546405,0.12941421052628824,0.054897595380728303,0.9467923153075462,0.9699679462987993,NUCB1,NUCB1
seq.15504.39,0.02926044126063623,0.02664361376962878,-0.0026168274910074486,-0.017286278513909775,0.054703832303012345,0.9469743085285862,0.9699679462987993,Livin B,BIRC7
seq.5307.12,-0.008591282741064164,0.02487540326440314,0.0334666860054673,0.01950184322187883,0.054656720853268115,0.9470185643318314,0.9699679462987993,Coagulation Factor IXab,F9
seq.7157.22,-0.04726692109738466,-0.008495533353516722,0.03877138774386794,-0.032061927908683785,0.053519191444627134,0.9480878639790593,0.9709302273001155,PCDA4,PCDHA4
