AptName,Spine_vs_Laparoscopic,Spine_vs_HeadNeck,Laparoscopic_vs_HeadNeck,AveExpr,F,P.Value,adj.P.Val,Target,EntrezGeneSymbol,draw
seq.9867.23,2.8934235447051737,1.9261966075803034,-0.9672269371248703,10.849414070788766,53.390653029003715,1.1574391630554214e-6,0.008658802378817608,F16P2,FBP2,Arterial
seq.25245.22,-2.0708869511233132,-0.2325718186357495,1.8383151324875637,11.135636777585722,35.00140853187753,9.889787679470536e-6,0.03699275081505954,RIC8A,RIC8A,Arterial
seq.2836.68,-2.321539784128838,0.2925506992368003,2.614090483365638,10.694039883668532,24.9687760019691,5.565402565042702e-5,0.1250485677960088,Lipocalin 2,LCN2,Arterial
seq.5731.1,-1.1122630032596508,0.14315440587547457,1.2554174091351253,9.340989294049434,22.589050668289588,8.735460846610192e-5,0.1250485677960088,ISK6,SPINK6,Arterial
seq.23272.8,-2.9285517091852586,-0.30917636094183365,2.619375348243425,10.903498459940584,22.268259640039968,9.579042188923202e-5,0.1250485677960088,DPCD,DPCD,Arterial
seq.20175.17,-0.9011232806430325,0.007745678722796967,0.9088689593658295,9.687476526040209,21.859036749810258,1.0029292965860886e-4,0.1250485677960088,CO9A3,COL9A3,Arterial
seq.5699.19,2.0254310048236075,-0.06157338783709854,-2.087004392660706,11.396102829594021,20.563390253047835,1.387170627126391e-4,0.14824890659332188,CI061,FAM189A2,Arterial
seq.13093.6,-0.9728440078667848,-0.0761171971732022,0.8967268106935826,9.832125817385624,18.902925791392768,1.9647875478605358e-4,0.18373219556930834,SECTM1,SECTM1,Arterial
seq.11342.59,0.34219564639519096,-0.6575704299290663,-0.9997660763242573,7.634363913892799,18.214398154856596,2.3244212689125206e-4,0.1917022655460064,PXDC2,PLXDC2,Arterial
seq.17766.5,-2.8215766636723902,1.113836097505434,3.9354127611778242,11.380108663465137,17.685978783159626,2.7452039286681134e-4,0.1917022655460064,NCF-1,NCF1,Arterial
seq.3329.14,-1.7023167570278375,1.4618037667872255,3.164120523815063,10.730669141490525,17.224185916138094,3.0866810696305745e-4,0.1917022655460064,PGRP-S,PGLYRP1,Arterial
seq.21237.24,-1.4425658009635196,1.797806697864095,3.2403724988276146,13.08765380933859,16.98970148938816,3.2789581550244875e-4,0.1917022655460064,PADI4,PADI4,Arterial
seq.10557.6,-1.021280724365278,-0.06957523067663551,0.9517054936886424,9.259053696200802,16.584720798610856,3.568774186988189e-4,0.1917022655460064,TEX29,TEX29,Arterial
seq.9844.138,3.9932692203041356,2.636431643488759,-1.3568375768153764,10.478672991747692,16.64199184173063,3.5904652548303856e-4,0.1917022655460064,ACTN2,ACTN2,Arterial
seq.2953.31,-2.305883280414898,0.1470468203656079,2.452930100780506,10.837740369973112,16.19132012647162,4.047155294006989e-4,0.1917022655460064,Luteinizing hormone,CGA|LHB,Arterial
seq.5491.12,2.06238162246213,0.41879484205292883,-1.6435867804092013,12.888909393036963,15.550624467847538,4.78004253984303e-4,0.1917022655460064,Testican-2,SPOCK2,Arterial
seq.12764.3,0.15456911488378466,-0.8673863053629569,-1.0219554202467416,8.235647826253599,15.202689960615523,5.309211831601531e-4,0.1917022655460064,ELMO1,ELMO1,Arterial
seq.5741.55,-3.469029475495642,1.2026999220454062,4.671729397541048,11.144900409553342,15.175124633278546,5.350511305816223e-4,0.1917022655460064,ECP,RNASE3,Arterial
seq.10721.76,1.876948138150457,1.1893293632508044,-0.6876187748996525,12.594351225998219,14.914368606262029,5.685218902576512e-4,0.1917022655460064,HSP 70,HSPA1A,Arterial
seq.8235.48,-0.8710003580913774,0.14580602525540165,1.016806383346779,9.312650396557196,14.873880130959186,5.716556120203666e-4,0.1917022655460064,SCG1,CHGB,Arterial
