AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.4474.19,Ubiquitin,RPS27A,FLAG,P62979
seq.23382.30,VCX3,VCX3A,FLAG,Q9NNX9
seq.17155.1,VPS28 protein homolog,VPS28,FLAG,Q9UK41
seq.13378.80,YD286,C5orf63,FLAG,A6NC05
seq.4476.22,ZAP70,ZAP70,FLAG,P43403
seq.14692.3,ZN276,ZNF276,FLAG,Q8N554
seq.10390.21,ZNRF3,ZNRF3,FLAG,Q9ULT6
seq.18302.204,ZWILC,ZWILCH,FLAG,Q9H900
seq.8424.269,b-Catenin,CTNNB1,FLAG,P35222
seq.3199.54,kallikrein 12,KLK12,FLAG,Q9UKR0
seq.2841.13,sFRP-3,FRZB,FLAG,Q92765
seq.2917.3,sRANKL,TNFSF11,FLAG,O14788
seq.22049.24,14-3-3 eta,YWHAH,PASS,Q04917
seq.4707.50,14-3-3 eta,YWHAH,PASS,Q04917
seq.12414.31,14-3-3 protein beta/alpha,YWHAB,PASS,P31946
seq.14156.33,14-3-3 protein beta/alpha,YWHAB,PASS,P31946
seq.4179.57,14-3-3 protein gamma,YWHAG,PASS,P61981
seq.8901.40,14-3-3 protein gamma,YWHAG,PASS,P61981
seq.7625.27,14-3-3 protein theta,YWHAQ,PASS,P27348
seq.5858.6,14-3-3 protein zeta/delta,YWHAZ,PASS,P63104
seq.14157.21,14-3-3E,YWHAE,PASS,P62258
seq.4708.3,17-beta-HSD 1,HSD17B1,PASS,P14061
seq.13622.16,2A5A,PPP2R5A,PASS,Q15172
seq.22068.5,2A5D,PPP2R5D,PASS,Q14738
seq.23278.13,39S ribosomal protein L12,MRPL12,PASS,P52815
seq.7769.29,3BP2,SH3BP2,PASS,P78314
seq.23662.10,3BP5,SH3BP5,PASS,O60239
seq.5861.78,3HAO,HAAO,PASS,P46952
seq.4693.72,3HIDH,HIBADH,PASS,P31937
seq.12438.127,3MG,MPG,PASS,P29372
seq.14025.18,4-1BB,TNFRSF9,PASS,Q07011
seq.2598.9,4-1BB,TNFRSF9,PASS,Q07011
seq.2599.51,4-1BB ligand,TNFSF9,PASS,P41273
seq.19623.26,40S ribosomal protein SA,RPSA,PASS,P08865
seq.4706.17,41,EPB41,PASS,P11171
seq.17372.5,4EBP1,EIF4EBP1,PASS,Q13541
seq.20117.5,4EBP2,EIF4EBP2,PASS,Q13542
seq.4184.43,4EBP2,EIF4EBP2,PASS,Q13542
seq.18859.7,4EBP3,EIF4EBP3,PASS,O60516
seq.10430.31,4F2,SLC3A2,PASS,P08195
seq.7056.16,4F2,SLC3A2,PASS,P08195
seq.15452.5,5'-Nucleotidase,NT5E,PASS,P21589
seq.6993.8,5'-Nucleotidase,NT5E,PASS,P21589
seq.25880.14,5-Lipoxygenase,ALOX5,PASS,P09917
seq.13556.28,5HT2A,HTR2A,PASS,P28223
seq.13561.5,5HT6R,HTR6,PASS,P50406
seq.13547.5,5HT7R,HTR7,PASS,P34969
seq.23362.26,5NT1A,NT5C1A,PASS,Q9BXI3
seq.19615.213,5NT3,NT5C3A,PASS,Q9H0P0
