AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.7887.57,COX5B,COX5B,PASS,P10606
seq.8903.1,COX6C,COX6C,PASS,P09669
seq.9590.10,COX7R,COX7A2L,PASS,O14548
seq.23325.18,CP045,BMERB1,PASS,Q96MC5
seq.12394.53,CP054,C16orf54,PASS,Q6UWD8
seq.23607.1,CP071,C16orf71,PASS,Q8IYS4
seq.23379.60,CP072,C16orf72,PASS,Q14CZ0
seq.6612.90,CP079,BRICD5,PASS,Q6PL45
seq.25464.1,CP2CJ,CYP2C19,PASS,P33261
seq.18332.17,CPLX1,CPLX1,PASS,O14810
seq.15321.8,CPLX2,CPLX2,PASS,Q6PUV4
seq.21536.65,CPLX3,CPLX3,PASS,Q8WVH0
seq.6415.90,CPN2,CPN2,PASS,P22792
seq.11602.12,CPNE1,CPNE1,PASS,Q99829
seq.5346.24,CPNE1,CPNE1,PASS,Q99829
seq.23689.52,CPNE6,CPNE6,PASS,O95741
seq.24277.22,CPNE7,CPNE7,PASS,Q9UBL6
seq.18299.13,CPNS1,CAPNS1,PASS,P04632
seq.22063.20,CPNS2,CAPNS2,PASS,Q96L46
seq.20972.37,CPSF5,NUDT21,PASS,O43809
seq.11709.29,CPT1B,CPT1B,PASS,Q92523
seq.20385.21,CPTP,CPTP,PASS,Q5TA50
seq.8891.7,CPVL,CPVL,PASS,Q9H3G5
seq.6255.74,CPXM1,CPXM1,PASS,Q96SM3
seq.23620.16,CPZIP,RCSD1,PASS,Q6JBY9
seq.25259.7,CQ062,CYBC1,PASS,Q9BQA9
seq.9070.1,CQ067,C17orf67,PASS,Q0P5P2
seq.6571.75,CQ078,C17orf78,PASS,Q8N4C9
seq.8545.14,CQ078,C17orf78,PASS,Q8N4C9
seq.9030.56,CQ089,NDUFAF8,PASS,A1L188
seq.21457.141,CQ10A,COQ10A,PASS,Q96MF6
seq.9004.24,CR001,LDLRAD4,PASS,O15165
seq.8236.8,CR032,C18orf32,PASS,Q8TCD1
seq.22114.4,CR054,LAS2,PASS,Q8IYD9
seq.8263.64,CR056,TYMSOS,PASS,Q8TAI1
seq.11198.37,CR3L1,CREB3L1,PASS,Q96BA8
seq.17336.54,CR3L2,CREB3L2,PASS,Q70SY1
seq.11308.8,CR3L4,CREB3L4,PASS,Q8TEY5
seq.5632.6,CRAC1,CRTAC1,PASS,Q9NQ79
seq.15322.35,CRADD,CRADD,PASS,P78560
seq.23354.12,CRBA2,CRYBA2,PASS,P53672
seq.17751.68,CRBB1,CRYBB1,PASS,P53674
seq.10000.28,CRBB2,CRYBB2,PASS,P43320
seq.23262.11,CRBB3,CRYBB3,PASS,P26998
seq.22115.2,CRBL2,CREBL2,PASS,O60519
seq.19279.42,CRBP,RBP1,PASS,P09455
seq.22955.28,CRBP,RBP1,PASS,P09455
seq.19311.15,CRBS,CRYGS,PASS,P22914
seq.3362.61,CRDL1,CHRDL1,PASS,Q9BU40
seq.6086.15,CRDL2,CHRDL2,PASS,Q6WN34
seq.13614.6,CREB-binding protein,CREBBP,PASS,Q92793
seq.20128.1,CREB1,CREB1,PASS,P16220
seq.9357.4,CREG1,CREG1,PASS,O75629
seq.7628.40,CREL1,CRELD1,PASS,Q96HD1
seq.22116.9,CREM,CREM,PASS,Q03060
seq.7192.37,CRF2-12,IFNLR1,PASS,Q8IU57
seq.24449.11,CRGA,CRYGA,PASS,P11844
seq.18203.9,CRGC,CRYGC,PASS,P07315
seq.12366.16,CRGD,CRYGD,PASS,P07320
seq.19637.9,CRH,CRH,PASS,P06850
seq.5614.44,CRH,CRH,PASS,P06850
seq.6039.24,CRHBP,CRHBP,PASS,P24387
seq.15492.1,CRIM1,CRIM1,PASS,Q9NZV1
seq.6502.50,CRIM1,CRIM1,PASS,Q9NZV1
seq.8699.43,CRIM1,CRIM1,PASS,Q9NZV1
seq.18275.5,CRIP1,CRIP1,PASS,P50238
seq.9053.16,CRIP2,CRIP2,PASS,P52943
seq.19294.26,CRIPT,CRIPT,PASS,Q9P021
seq.9282.12,CRIS2,CRISP2,PASS,P16562
seq.3187.52,CRIS3,CRISP3,PASS,P54108
seq.4976.57,CRK,CRK,PASS,P46108
seq.9877.28,CRKL,CRKL,PASS,P46109
seq.5691.2,CRLD2,CRISPLD2,PASS,Q9H0B8
seq.14747.9,CRLF1,CRLF1,PASS,O75462
seq.25052.3,CRLF3,CRLF3,PASS,Q8IUI8
seq.17738.7,CRNN,CRNN,PASS,Q9UBG3
seq.4337.49,CRP,CRP,PASS,P02741
seq.7968.15,CRTAM,CRTAM,PASS,O95727
seq.25901.3,CRTC3,CRTC3,PASS,Q6UUV7
seq.25220.8,CRTP1,CYSRT1,PASS,A8MQ03
seq.24643.21,CRYL1,CRYL1,PASS,Q9Y2S2
seq.9248.36,CS010,MYDGF,PASS,Q969H8
seq.9445.44,CS018,C19orf18,PASS,Q8NEA5
seq.24450.96,CS054,C19orf54,PASS,Q5BKX5
seq.7108.7,CS077,SMIM24,PASS,O75264
seq.23536.14,CS084,None,PASS,I3L1E1
seq.5716.49,CSAG1,CSAG1,PASS,Q6PB30
seq.22118.7,CSAG2,CSAG2,PASS,Q9Y5P2
seq.12754.14,CSDC2,CSDC2,PASS,Q9Y534
seq.12735.39,CSDE1,CSDE1,PASS,O75534
seq.10513.13,CSEN,KCNIP3,PASS,Q9Y2W7
seq.10741.22,CSF-1,CSF1,PASS,P09603
seq.3738.54,CSF-1,CSF1,PASS,P09603
seq.10438.19,CSF2R,CSF2RA,PASS,P15509
seq.13103.125,CSH,CSH1|CSH2,PASS,P0DML2|P0DML3
seq.6229.13,CSH,CSH1|CSH2,PASS,P0DML2|P0DML3
seq.3363.31,CSK,CSK,PASS,P41240
seq.3427.63,CSK21,CSNK2A1,PASS,P68400
seq.5224.20,CSK21,CSNK2A1,PASS,P68400
seq.13681.173,CSK22,CSNK2A2,PASS,P19784
seq.11330.15,CSK2B,CSNK2B,PASS,P67870
seq.16754.40,CSKP,CASK,PASS,O14936
seq.9598.23,CSMD1,CSMD1,PASS,Q96PZ7
seq.9971.5,CSMD2,CSMD2,PASS,Q7Z408
seq.14029.42,CSN2,COPS2,PASS,P61201
seq.24725.4,CSN5,COPS5,PASS,Q92905
seq.12384.92,CSN7B,COPS7B,PASS,Q9H9Q2
seq.22119.18,CSN8,COPS8,PASS,Q99627
seq.12653.13,CSNK1G2,CSNK1G2,PASS,P78368
seq.17436.193,CSNK1G2,CSNK1G2,PASS,P78368
seq.9561.21,CSPG2,VCAN,PASS,P13611
seq.15573.110,CSPG3,NCAN,PASS,O14594
seq.8951.162,CSPG4,CSPG4,PASS,Q6UVK1
seq.14324.52,CSPG6,SMC3,PASS,Q9UQE7
seq.12968.2,CSRP2,CSRP2,PASS,Q16527
seq.9171.11,CSRP3,CSRP3,PASS,P50461
seq.6368.9,CST1L,CSTL1,PASS,Q9H114
seq.10572.65,CST8,CST8,PASS,O60676
seq.18882.7,CSTN2,CLSTN2,PASS,Q9H4D0
seq.21108.5,CSTP1,CPPED1,PASS,Q9BRF8
seq.12855.16,CT032,CASS4,PASS,Q9NQ75
seq.7046.6,CT173,C20orf173,PASS,Q96LM9
seq.24290.5,CT202,C20orf202,PASS,A1L168
seq.24667.27,CT451,CT45A1,PASS,Q5HYN5
seq.24473.11,CT453,CT45A3,PASS,Q8NHU0
seq.2192.63,CTACK,CCL27,PASS,Q9Y4X3
seq.6931.10,CTAG1A,CTAG1A,PASS,P78358
seq.4544.4,CTAP-III,PPBP,PASS,P02775
seq.11217.16,CTBP1,CTBP1,PASS,Q13363
seq.14624.51,CTCF,CTCF,PASS,P49711
seq.21166.1,CTDS1,CTDSP1,PASS,Q9GZU7
seq.20929.4,CTDSL,CTDSPL,PASS,O15194
seq.24294.13,CTF8,CHTF8,PASS,P0CG13
seq.2975.19,CTGF,CCN2,PASS,P29279
seq.15467.10,CTHR1,CTHRC1,PASS,Q96CG8
seq.6236.51,CTHR1,CTHRC1,PASS,Q96CG8
seq.3022.4,CTLA-4,CTLA4,PASS,P16410
seq.24426.15,CTNA1,CTNNA1,PASS,P35221
seq.24426.191,CTNA1,CTNNA1,PASS,P35221
seq.9872.23,CTNA2,CTNNA2,PASS,P26232
seq.25283.2,CTNA3,CTNNA3,PASS,Q9UI47
seq.5648.28,CTRB2,CTRB2,PASS,Q6GPI1
seq.5626.20,CTRC,CTRC,PASS,Q99895
seq.9229.9,CTRL,CTRL,PASS,P40313
seq.24676.105,CU059,CFAP298,PASS,P57076
seq.21149.27,CUED1,CUEDC1,PASS,Q9NWM3
seq.17797.1,CUL1,CUL1,PASS,Q13616
seq.10045.47,CUL3,CUL3,PASS,Q13618
seq.13743.56,CUL4B,CUL4B,PASS,Q13620
seq.12991.49,CUL9,CUL9,PASS,Q8IWT3
seq.21604.2,CUTA,CUTA,PASS,O60888
seq.15315.64,CUTC,CUTC,PASS,Q9NTM9
seq.7943.16,CUZD1,CUZD1,PASS,Q86UP6
seq.23330.12,CV013,GUCD1,PASS,Q96NT3
seq.7073.69,CV015,C22orf15,PASS,Q8WYQ4
seq.24707.6,CX038,CXorf38,PASS,Q8TB03
seq.9363.11,CX048,CT55,PASS,Q8WUE5
seq.24905.22,CX04A,EOLA1,PASS,Q8TE69
seq.8888.33,CX068,SMIM9,PASS,A6NGZ8
seq.9379.248,CX069,SMIM10,PASS,Q96HG1
seq.10535.25,CX6A2,COX6A2,PASS,Q02221
seq.8390.25,CX7A1,COX7A1,PASS,P24310
seq.9937.7,CXA1,GJA1,PASS,P17302
seq.12711.19,CXA8,GJA8,PASS,P48165
seq.11204.80,CXAR,CXADR,PASS,P78310
seq.2436.49,"CXCL16, soluble",CXCL16,PASS,Q9H2A7
seq.11678.105,CXD2,GJD2,PASS,Q9UKL4
seq.12432.23,CYBP,CACYBP,PASS,Q9HB71
seq.24682.35,CYBR1,CYBRD1,PASS,Q53TN4
seq.11546.7,CYGB,CYGB,PASS,Q8WWM9
seq.21239.31,CYH1,CYTH1,PASS,Q15438
seq.12533.135,CYH2,CYTH2,PASS,Q99418
seq.21365.5,CYH3,CYTH3,PASS,O43739
seq.12746.4,CYH4,CYTH4,PASS,Q9UIA0
seq.21765.10,CYLD,CYLD,PASS,Q9NQC7
seq.6264.9,CYR61,CCN1,PASS,O00622
seq.7691.11,CYSH_ECOLI,cysH,PASS,P17854
seq.13661.193,CYTD,CST5,PASS,P28325
seq.3803.10,CYTD,CST5,PASS,P28325
seq.14038.130,CYTF,CST7,PASS,O76096
seq.3302.58,CYTF,CST7,PASS,O76096
seq.13612.7,CYTIP,CYTIP,PASS,O60759
seq.8402.22,CYTL1,CYTL1,PASS,Q9NRR1
seq.5459.33,CYTN,CST1,PASS,P01037
seq.4324.33,CYTT,CST2,PASS,P09228
seq.10496.11,CaCC,CLCA1,PASS,A8K7I4
seq.18860.2,CaMKK alpha,CAMKK1,PASS,Q8N5S9
seq.14759.149,Cadherin E,CDH1,PASS,P12830
seq.18429.10,Cadherin E,CDH1,PASS,P12830
seq.2501.51,Cadherin E,CDH1,PASS,P12830
seq.16305.10,Cadherin-11,CDH11,PASS,P55287
seq.7763.25,Cadherin-11,CDH11,PASS,P55287
seq.9604.14,Cadherin-11,CDH11,PASS,P55287
seq.19388.2,Cadherin-12,CDH12,PASS,P55289
seq.8329.166,Cadherin-12,CDH12,PASS,P55289
seq.3797.1,Cadherin-2,CDH2,PASS,P19022
seq.2819.23,Cadherin-5,CDH5,PASS,P33151
seq.16312.45,Cadherin-6,CDH6,PASS,P55285
seq.3591.51,Cadherin-6,CDH6,PASS,P55285
seq.9918.23,Calbindin D28,CALB1,PASS,P05937
seq.4903.72,Calcineurin,PPP3CA|PPP3R1,PASS,Q08209|P63098
seq.15545.13,Calcineurin B a,PPP3R1,PASS,P63098
seq.21143.10,Calcyphosin,CAPS,PASS,Q13938
seq.25273.80,Caldesmon,CALD1,PASS,Q05682
seq.24217.2,Calgranulin A,S100A8,PASS,P05109
seq.25216.8,Calgranulin A,S100A8,PASS,P05109
seq.8834.58,Calnexin,CANX,PASS,P27824
seq.15318.75,Calpactin I light chain,S100A10,PASS,P60903
seq.2668.70,Calpain I,CAPN1|CAPNS1,PASS,P07384|P04632
seq.3026.5,Calpastatin,CAST,PASS,P20810
seq.15566.10,Calponin-1,CNN1,PASS,P51911
seq.23586.32,Cancer/testis antigen 1B,CTAG1A,PASS,P78358
seq.11646.4,Carbohydrate sulfotransferase 9,CHST9,PASS,Q7L1S5
seq.14069.61,Carbonic Anhydrase IV,CA4,PASS,P22748
seq.8791.151,Carbonic Anhydrase VA,CA5A,PASS,P35218
seq.17673.34,Carbonic Anhydrase VB,CA5B,PASS,Q9Y2D0
seq.11390.24,Carbonic Anhydrase VIII,CA8,PASS,P35219
seq.13666.222,Carbonic Anhydrase X,CA10,PASS,Q9NS85
seq.3289.19,Carbonic Anhydrase X,CA10,PASS,Q9NS85
seq.19347.37,Carbonic Anhydrase XII,CA12,PASS,O43570
seq.13747.9,Carbonic anhydrase 6,CA6,PASS,P23280
seq.3352.80,Carbonic anhydrase 6,CA6,PASS,P23280
seq.3798.71,Carbonic anhydrase 9,CA9,PASS,Q16790
seq.4969.2,Carbonic anhydrase I,CA1,PASS,P00915
seq.3799.11,Carbonic anhydrase III,CA3,PASS,P07451
seq.3356.50,Carbonic anhydrase VII,CA7,PASS,P43166
seq.3420.21,Carbonic anhydrase XIII,CA13,PASS,Q8N1Q1
seq.14091.42,Carbonyl reductase 3,CBR3,PASS,O75828
seq.15375.49,Carboxypeptidase B1,CPB1,PASS,P15086
seq.6356.3,Carboxypeptidase B1,CPB1,PASS,P15086
seq.13732.79,Cardiotrophin-1,CTF1,PASS,Q16619
seq.2889.37,Cardiotrophin-1,CTF1,PASS,Q16619
seq.21450.333,Caspase-10,CASP10,PASS,Q92851
seq.23156.146,Caspase-10,CASP10,PASS,Q92851
seq.5340.24,Caspase-10,CASP10,PASS,Q92851
seq.4904.7,Caspase-2,CASP2,PASS,P42575
seq.3593.72,Caspase-3,CASP3,PASS,P42574
seq.22092.43,Caspase-4,CASP4,PASS,P49662
seq.25895.29,Caspase-5,CASP5,PASS,P51878
seq.21513.1,Caspase-7,CASP7,PASS,P55210
seq.18158.45,Caspase-8,CASP8,PASS,Q14790
seq.3488.64,Catalase,CAT,PASS,P04040
seq.18382.109,Catechol O-methyltransferase,COMT,PASS,P21964
seq.9384.17,Cathelicidin peptide,CAMP,PASS,P49913
seq.3179.51,Cathepsin A,CTSA,PASS,P10619
seq.3061.61,Cathepsin B,CTSB,PASS,P07858
seq.8007.19,Cathepsin B,CTSB,PASS,P07858
seq.5508.62,Cathepsin D,CTSD,PASS,P07339
seq.2431.17,Cathepsin G,CTSG,PASS,P08311
seq.8465.52,Cathepsin H,CTSH,PASS,P09668
seq.8644.46,Cathepsin H,CTSH,PASS,P09668
seq.3181.50,Cathepsin S,CTSS,PASS,P25774
seq.3364.76,Cathepsin V,CTSV,PASS,O60911
seq.9840.2,Cdc42Hs,CDC42,PASS,P60953
seq.17453.34,Ceruloplasmin,CP,PASS,P00450
seq.11184.51,CgA,CHGA,PASS,P10645
seq.8476.11,CgA,CHGA,PASS,P10645
seq.10460.1,Chitotriosidase-1,CHIT1,PASS,Q13231
seq.3600.2,Chitotriosidase-1,CHIT1,PASS,Q13231
seq.19328.51,Chk2,CHEK2,PASS,O96017
seq.3360.50,Chk2,CHEK2,PASS,O96017
seq.18875.125,Chondrocalcin,COL2A1,PASS,P02458
seq.3423.59,Chymase,CMA1,PASS,P23946
seq.5671.1,Chymotrypsin,CTRB1,PASS,P17538
seq.3028.36,Ck-b-8-1,CCL23,PASS,P55773
seq.17196.5,ClpP endopeptidase,CLPP,PASS,Q16740
seq.4542.24,Clusterin,CLU,PASS,P10909
seq.4905.63,Coactosin-like protein,COTL1,PASS,Q14019
seq.4876.32,Coagulation Factor IX,F9,PASS,P00740
seq.5307.12,Coagulation Factor IXab,F9,PASS,P00740
seq.4906.35,Coagulation Factor V,F5,PASS,P12259
seq.3184.25,Coagulation Factor VII,F7,PASS,P08709
seq.13499.30,Coagulation Factor VIII,F8,PASS,P00451
seq.4878.3,Coagulation Factor X,F10,PASS,P00742
seq.2190.55,Coagulation Factor XI,F11,PASS,P03951
seq.3077.66,Coagulation Factor Xa,F10,PASS,P00742
seq.16927.9,Coagulation factor XIII,F13A1|F13B,PASS,P00488|P05160
seq.4203.50,Cofilin-1,CFL1,PASS,P23528
seq.15569.15,Collagen II,COL2A1,PASS,P02458
seq.18880.81,Collagen Type III,COL3A1,PASS,P02461
seq.11150.3,Collagen a1(VI),COL6A1,PASS,P12109
seq.16828.8,Collagen a1(VI),COL6A1,PASS,P12109
seq.11196.31,Collagen alpha-3(VI),COL6A3,PASS,P12111
seq.10800.15,Collagen-binding protein,SERPINH1,PASS,P50454
seq.4430.44,Collectin Kidney 1,COLEC11,PASS,Q9BWP8
seq.19556.12,Complement receptor type 1,CR1,PASS,P17927
seq.15570.99,Complement receptor type 2,CR2,PASS,P20023
seq.3298.52,Contactin-4,CNTN4,PASS,Q8IWV2
seq.3299.29,Contactin-5,CNTN5,PASS,O94779
seq.9204.33,Corticotropin-lipotropin,POMC,PASS,P01189
seq.5810.25,Cripto,TDGF1,PASS,P13385
seq.15574.37,Cyclin A,CCNA2,PASS,P20248
seq.5347.59,Cyclin B1,CCNB1,PASS,P14635
seq.19767.20,Cyclin E,CCNE1,PASS,P24864
seq.18913.3,Cyclin H,CCNH,PASS,P51946
seq.9848.22,Cyclin H,CCNH,PASS,P51946
seq.3844.2,Cyclophilin A,PPIA,PASS,P62937
seq.5248.68,Cyclophilin F,PPIF,PASS,P30405
seq.8095.213,Cyclophilin F,PPIF,PASS,P30405
seq.19768.13,Cystatin B,CSTB,PASS,P04080
seq.2609.59,Cystatin C,CST3,PASS,P01034
seq.14711.27,Cystatin M,CST6,PASS,Q15828
seq.3303.23,Cystatin M,CST6,PASS,Q15828
seq.14076.74,Cystatin-S,CST4,PASS,P01036
seq.15529.33,Cysteine-rich protein 1,CSRP1,PASS,P21291
seq.18243.9,Cytidylate kinase,CMPK1,PASS,P30085
seq.8312.139,Cytidylate kinase,CMPK1,PASS,P30085
seq.2943.5,Cytochrome P450 3A4,CYP3A4,PASS,P08684
seq.7879.12,Cytochrome P450 3A4,CYP3A4,PASS,P08684
seq.11287.14,Cytochrome b5,CYB5A,PASS,P00167
seq.2942.50,Cytochrome c,CYCS,PASS,P99999
seq.19135.5,Cytosolic 5'-nucleotidase III-like protein,NT5C3B,PASS,Q969T7
seq.4907.56,D-dimer,FGA|FGB|FGG,PASS,P02671|P02675|P02679
seq.19237.17,D-dopachrome decarboxylase,DDT,PASS,P30046
seq.5664.57,D106A,DEFB106A,PASS,Q8N104
seq.6399.52,D107A,DEFB107A,PASS,Q8IZN7
seq.5611.56,D108B,DEFB108B,PASS,Q8NET1
seq.19367.34,D3D2,ECI1,PASS,P42126
seq.21963.48,DAB2,DAB2,PASS,P98082
seq.5069.9,DAF,CD55,PASS,P08174
seq.8369.102,DAG1,DAG1,PASS,Q14118
seq.23644.19,DAK,TKFC,PASS,Q3LXA3
seq.2944.66,DAN,NBL1,PASS,P41271
seq.19141.22,DAP1,DAP,PASS,P51397
seq.13955.33,DAPK1,DAPK1,PASS,P53355
seq.4355.13,DAPK2,DAPK2,PASS,Q9UIK4
seq.24261.202,DAPK3,DAPK3,PASS,O43293
seq.11615.16,DAPP1,DAPP1,PASS,Q9UN19
seq.25306.51,DAXX,DAXX,PASS,Q9UER7
seq.23401.3,DAZP1,DAZAP1,PASS,Q96EP5
seq.8340.9,DB110,DEFB110,PASS,Q30KQ9
seq.5689.1,DB112,DEFB112,PASS,Q30KQ8
seq.13374.4,DB113,DEFB113,PASS,Q30KQ7
seq.8391.12,DB115,DEFB115,PASS,Q30KQ5
seq.11144.10,DB116,DEFB116,PASS,Q30KQ4
seq.9306.7,DB118,DEFB118,PASS,Q96PH6
seq.8315.5,DB119,DEFB119,PASS,Q8N690
seq.5765.53,DB121,DEFB121,PASS,Q5J5C9
seq.9486.13,DB125,DEFB125,PASS,Q8N687
seq.20543.19,DB127,DEFB127,PASS,Q9H1M4
seq.6360.7,DB128,DEFB128,PASS,Q7Z7B8
seq.8347.222,DB129,DEFB129,PASS,Q9H1M3
seq.6411.58,DB135,DEFB135,PASS,Q30KP9
seq.9332.6,DB136,DEFB136,PASS,Q30KP8
seq.20970.14,DBND1,DBNDD1,PASS,Q9H9R9
seq.21122.3,DBND2,DBNDD2,PASS,Q9BQY9
seq.4978.54,DBNL,DBNL,PASS,Q9UJU6
seq.9755.19,DBNL,DBNL,PASS,Q9UJU6
seq.22576.1,DC-SIGN,CD209,PASS,Q9NNX6
seq.22576.2,DC-SIGN,CD209,PASS,Q9NNX6
seq.3029.52,DC-SIGN,CD209,PASS,Q9NNX6
seq.3030.3,DC-SIGNR,CLEC4M,PASS,Q9H2X3
seq.24981.8,DC1L1,DYNC1LI1,PASS,Q9Y6G9
seq.25053.1,DC1L2,DYNC1LI2,PASS,O43237
seq.22120.4,DCA11,DCAF11,PASS,Q8TEB1
seq.22121.43,DCA12,DCAF12,PASS,Q5T6F0
seq.11283.13,DCAF5,DCAF5,PASS,Q96JK2
seq.17156.72,DCAK1,DCLK1,PASS,O15075
seq.9402.18,DCBD1,DCBLD1,PASS,Q8N8Z6
seq.21685.29,DCC,DCC,PASS,P43146
seq.23679.43,DCC1,DSCC1,PASS,Q9BVC3
seq.11280.6,DCE1,GAD1,PASS,Q99259
seq.9836.20,DCK,DCK,PASS,P27707
seq.7826.1,DCLK3,DCLK3,PASS,Q9C098
seq.11538.216,DCMC,MLYCD,PASS,O95822
seq.17366.6,DCNL1,DCUN1D1,PASS,Q96GG9
seq.19511.8,DCNL2,DCUN1D2,PASS,Q6PH85
seq.13553.4,DCNL3,DCUN1D3,PASS,Q8IWE4
seq.8760.10,DCNL5,DCUN1D5,PASS,Q9BTE7
seq.14008.22,DCP1A,DCP1A,PASS,Q9NPI6
seq.20106.80,DCPS,DCPS,PASS,Q96C86
seq.17756.69,DCTD,DCTD,PASS,P32321
seq.18311.44,DCTN6,DCTN6,PASS,O00399
seq.19289.29,DCUP,UROD,PASS,P06132
seq.17758.79,DCXR,DCXR,PASS,Q7Z4W1
seq.18813.15,DD19A,DDX19A,PASS,Q9NUU7
seq.19392.6,DDAH1,DDAH1,PASS,O94760
seq.25499.37,DDHD2,DDHD2,PASS,O94830
seq.23648.36,DDI1,DDI1,PASS,Q8WTU0
seq.25446.34,DDI2,DDI2,PASS,Q5TDH0
seq.19119.10,DDIT3,DDIT3,PASS,P35638
seq.17817.22,DDIT4,DDIT4,PASS,Q9NX09
seq.23559.10,DDRGK,DDRGK1,PASS,Q96HY6
seq.25092.32,DDX1,DDX1,PASS,Q92499
seq.13946.8,DDX23,DDX23,PASS,Q9BUQ8
seq.13984.23,DDX25,DDX25,PASS,Q9UHL0
seq.14216.35,DDX46,DDX46,PASS,Q7L014
seq.12382.2,DDX58,DDX58,PASS,O95786
seq.12869.68,DDX6,DDX6,PASS,P26196
seq.5460.60,DEAD-box protein 19B,DDX19B,PASS,Q9UMR2
seq.6369.82,DEAF1,DEAF1,PASS,O75398
seq.12687.2,DECR,DECR1,PASS,Q16698
seq.18343.10,DECR2,DECR2,PASS,Q9NUI1
seq.14090.23,DEFI6,DEF6,PASS,Q9H4E7
seq.19287.59,DENR,DENR,PASS,O43583
seq.7178.59,DEPP,DEPP1,PASS,Q9NTK1
seq.13393.46,DERL1,DERL1,PASS,Q9BUN8
seq.4979.34,DERM,DPT,PASS,Q07507
seq.21204.70,DESI1,DESI1,PASS,Q6ICB0
seq.18883.4,DEST,DSTN,PASS,P60981
seq.22958.6,DEST,DSTN,PASS,P60981
seq.21249.115,DFFA,DFFA,PASS,O00273
seq.11356.19,DGC14,ESS2,PASS,Q96DF8
seq.9444.70,DGCR6,DGCR6,PASS,Q14129
seq.12895.28,DGKB,DGKB,PASS,Q9Y6T7
seq.17397.8,DHB11,HSD17B11,PASS,Q8NBQ5
seq.13972.4,DHB14,HSD17B14,PASS,Q9BPX1
seq.23643.22,DHB4,HSD17B4,PASS,P51659
seq.8272.22,DHB7,HSD17B7,PASS,P56937
seq.9929.16,DHB7,HSD17B7,PASS,P56937
seq.19491.11,DHB8,HSD17B8,PASS,Q92506
seq.25902.27,DHE3,GLUD1,PASS,P00367
seq.25068.131,DHE4,GLUD2,PASS,P49448
seq.4389.2,DHH,DHH,PASS,O43323
seq.21967.20,DHI1,HSD11B1,PASS,P28845
seq.11257.1,DHPR,QDPR,PASS,P09417
seq.23317.10,DHR11,DHRS11,PASS,Q6UWP2
seq.24708.7,DHRS3,DHRS3,PASS,O75911
seq.21308.44,DHRS4,DHRS4,PASS,Q9BTZ2
seq.17467.1,DHRS9,DHRS9,PASS,Q9BPW9
seq.11601.26,DHX8,DHX8,PASS,Q14562
seq.10527.22,DHX9,DHX9,PASS,Q08211
seq.14329.4,DIDO1,DIDO1,PASS,Q9BTC0
seq.17793.4,DIRA1,DIRAS1,PASS,O95057
seq.13441.30,DIXC1,DIXDC1,PASS,Q155Q3
seq.7110.2,DJB11,DNAJB11,PASS,Q9UBS4
seq.8006.12,DJB12,DNAJB12,PASS,Q9NXW2
seq.24659.6,DJB13,DNAJB13,PASS,P59910
seq.8037.53,DJB14,DNAJB14,PASS,Q8TBM8
seq.8053.16,DJB14,DNAJB14,PASS,Q8TBM8
seq.8297.8,DJC10,DNAJC10,PASS,Q8IXB1
seq.9783.75,DJC11,DNAJC11,PASS,Q9NVH1
seq.21114.18,DJC12,DNAJC12,PASS,Q9UKB3
seq.7197.2,DJC15,DNAJC15,PASS,Q9Y5T4
seq.10454.99,DJC16,DNAJC16,PASS,Q9Y2G8
seq.14655.1,DJC17,DNAJC17,PASS,Q9NVM6
seq.8033.1,DJC18,DNAJC18,PASS,Q9H819
seq.12799.65,DJC27,DNAJC27,PASS,Q9NZQ0
seq.7866.11,DJC30,DNAJC30,PASS,Q96LL9
seq.3535.84,DKK1,DKK1,PASS,O94907
seq.15678.71,DKK2,DKK2,PASS,Q9UBU2
seq.6546.41,DKK2,DKK2,PASS,Q9UBU2
seq.10746.24,DKK3,DKK3,PASS,Q9UBP4
seq.3607.71,DKK3,DKK3,PASS,Q9UBP4
seq.3881.49,DLC8,DYNLL1,PASS,P63167
seq.10025.1,DLDH,DLD,PASS,P09622
seq.15527.90,DLDH,DLD,PASS,P09622
seq.19620.16,DLG2,DLG2,PASS,Q15700
seq.7897.75,DLG3,DLG3,PASS,Q92796
seq.8070.88,DLG4,DLG4,PASS,P78352
seq.24436.23,DLGP4,DLGAP4,PASS,Q9Y2H0
seq.6373.54,DLK1,DLK1,PASS,P80370
seq.6496.60,DLK1,DLK1,PASS,P80370
seq.8380.244,DLK1,DLK1,PASS,P80370
seq.5349.69,DLL1,DLL1,PASS,O00548
seq.8264.43,DLL1,DLL1,PASS,O00548
seq.9974.8,DLL3,DLL3,PASS,Q9NYJ7
seq.3305.6,DLL4,DLL4,PASS,Q9NR61
seq.3845.51,DLRB1,DYNLRB1,PASS,Q9NP97
seq.17827.53,DLRB2,DYNLRB2,PASS,Q8TF09
seq.22123.15,DLX2,DLX2,PASS,Q07687
seq.11422.2,DLX3,DLX3,PASS,O60479
seq.11910.27,DLX4,DLX4,PASS,Q92988
seq.19212.4,DMBT1,DMBT1,PASS,Q9UGM3
seq.23341.16,DMC1,DMC1,PASS,Q14565
seq.21547.6,DMP4,FAM20C,PASS,Q8IXL6
seq.21661.82,DMP4,FAM20C,PASS,Q8IXL6
seq.24688.9,DMRTB,DMRTB1,PASS,Q96MA1
seq.22369.12,DMRTD,DMRTC2,PASS,Q8IXT2
