gene_symbol,av_p,kw_p,mean_HN,mean_Lap,mean_Spine
KLK7,0.0018588971112923,0.08819498930314379,-0.2270339361855993,-0.42952344528049363,-0.12129475963245966
KLK10,0.0280090919829156,0.25446556832712747,-0.46750765485411705,-1.377242465772088,-0.12698415598247298
SPINK1,0.04739682575315736,0.3569611933798549,-0.25859738277803235,-0.32058077226266946,-0.026344331926595653
SPINK9,1.7438262373248198e-4,0.8757345074296531,-0.2915212220612875,-0.43409466175847317,-0.3791795272317522
KLK8,0.04627252336988868,0.9948849216671609,-0.23103702288997052,-0.19446260551284844,-0.14896966320629196
