pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG,6,91,1306,7481,0.3307103063590226,0.9993475997265049,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_INFLAMMATORY_RESPONSE,Hallmark,14,158,1306,7481,0.45387266323830927,0.999356411314523,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_FOCAL_ADHESION,KEGG,14,163,1306,7481,0.4382679502804757,0.9996363640860095,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,KEGG,4,77,1306,7481,0.25683049462247487,0.9996935523094029,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_LYSOSOME,KEGG,3,71,1306,7481,0.20679910635652288,0.9998532249175106,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,32,324,1306,7481,0.5061008675686756,0.9999682318052054,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_COAGULATION,Hallmark,9,144,1306,7481,0.3104907855163137,0.999982143833992,0.999982143833992,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PRION_DISEASES,KEGG,11,39,417,7481,6.803879382252843,5.734718372571964e-6,2.2365401653030658e-4,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_SPLICEOSOME,KEGG,11,65,417,7481,3.516110226396182,8.248266539071766e-4,0.0151510797680398,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,12,78,417,7481,3.1408314653071976,0.0011654676744646,0.0151510797680398,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_ENDOCYTOSIS,KEGG,13,125,417,7481,1.9971049178985212,0.02157405765456436,0.19923390266405844,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_FOLATE_BIOSYNTHESIS,KEGG,3,12,417,7481,5.6775458610721765,0.025951638977557794,0.19923390266405844,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_PPAR_SIGNALING_PATHWAY,KEGG,6,43,417,7481,2.771943323703074,0.030651369640624374,0.19923390266405844,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_COMPLEMENT,Hallmark,17,198,417,7481,1.6160357330677293,0.04968006631201179,0.22622898918530707,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_DILATED_CARDIOMYOPATHY,KEGG,5,37,417,7481,2.666153298852264,0.052678478414474546,0.22622898918530707,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG,4,26,417,7481,3.099363214575154,0.05378511746103419,0.22622898918530707,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG,5,38,417,7481,2.5851262246966247,0.05800743312443771,0.22622898918530707,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,16,191,417,7481,1.5705715676649985,0.06663367907012784,0.23624668033954413,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_MYOGENESIS,Hallmark,10,130,417,7481,1.4216940640398774,0.18806962796720483,0.5789422426029547,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_ANGIOGENESIS,Hallmark,4,41,417,7481,1.839135995606651,0.1929807475343182,0.5789422426029547,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_BASAL_CELL_CARCINOMA,KEGG,3,33,417,7481,1.6988742964552401,0.2784985814215942,0.7758174768172982,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_COLORECTAL_CANCER,KEGG,4,53,417,7481,1.3864865252002754,0.34208269192032853,0.8894149989928543,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG,3,53,417,7481,1.016522042399022,0.5734722628820312,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_LEISHMANIA_INFECTION,KEGG,3,59,417,7481,0.9068420309919911,0.6467757125297605,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_COAGULATION,Hallmark,7,144,417,7481,0.8632656718185076,0.6993222330168426,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,5,106,417,7481,0.8366708345619979,0.7119323793173079,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG,3,69,417,7481,0.7683518960715419,0.7481430751174897,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_P53_PATHWAY,Hallmark,5,118,417,7481,0.74653503273927,0.7950421182522709,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,8,192,417,7481,0.7313805314592892,0.8474806322257709,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_APICAL_JUNCTION,Hallmark,6,151,417,7481,0.6966147916712369,0.8542580893027754,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_UV_RESPONSE_UP,Hallmark,4,107,417,7481,0.6545679049235604,0.855117899314184,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_IL2_STAT5_SIGNALING,Hallmark,5,133,417,7481,0.6576290331368368,0.8711164389381048,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_INFLAMMATORY_RESPONSE,Hallmark,6,158,417,7481,0.6638612309337494,0.881820409885647,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_HYPOXIA,Hallmark,5,137,417,7481,0.6373330632135092,0.8868433978624426,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_WNT_SIGNALING_PATHWAY,KEGG,3,92,417,7481,0.5679207984732418,0.8940712751270398,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,5,142,417,7481,0.6136296448134816,0.9041671890821668,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_KRAS_SIGNALING_UP,Hallmark,5,145,417,7481,0.6002202411501127,0.9134160318707056,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,13,324,417,7481,0.6987691197167812,0.9212993360195347,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_APOPTOSIS,Hallmark,4,126,417,7481,0.5511190334555303,0.9269308594440444,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,4,137,417,7481,0.5047365400537303,0.9520209124946061,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG,4,137,417,7481,0.5047365400537303,0.9520209124946061,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,3,112,417,7481,0.4624065285167283,0.9536485283672871,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_GLYCOLYSIS,Hallmark,4,145,417,7481,0.4755725782346672,0.9650055819614759,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_AXON_GUIDANCE,KEGG,3,127,417,7481,0.40559699300496055,0.9758774668865553,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_PATHWAYS_IN_CANCER,KEGG,8,259,417,7481,0.5309806487483498,0.9796878662422585,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Hallmark,3,153,417,7481,0.33404095423182756,0.9926172346539033,0.9926172346539033,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,KEGG,7,28,737,7481,3.06895204199082,0.016405876461674938,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_MITOTIC_SPINDLE,Hallmark,13,72,737,7481,2.0342461310157414,0.02218925426972424,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_PROTEIN_SECRETION,Hallmark,11,59,737,7481,2.1133569492257482,0.027281471630163315,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_FATTY_ACID_METABOLISM,KEGG,6,25,737,7481,2.9045028553026353,0.0310733234755947,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG,12,69,737,7481,1.9416193202223206,0.03558239527684171,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PANCREATIC_CANCER,KEGG,11,62,737,7481,1.9882102296540207,0.037903726617590484,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,KEGG,6,27,737,7481,2.627221606919411,0.043925694353013155,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,13,83,737,7481,1.7118005585863127,0.061353460371485466,0.8359408975614895,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PARKINSONS_DISEASE,KEGG,8,46,737,7481,1.9364591965708415,0.07781562691785444,0.8561444549574585,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG,19,137,737,7481,1.4858306966896555,0.0785453628401338,0.8561444549574585,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG,10,65,737,7481,1.6727293696185912,0.10231496609524973,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_INOSITOL_PHOSPHATE_METABOLISM,KEGG,5,26,737,7481,2.18645839129765,0.10620035208283571,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,15,110,737,7481,1.453982803411839,0.12117762091503435,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG,5,28,737,7481,1.9958119933025673,0.13533685385302444,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG,4,21,737,7481,2.159078027470182,0.14581984352512847,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_RNA_DEGRADATION,KEGG,4,22,737,7481,2.038868780877076,0.1651905676130038,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PEROXISOME,KEGG,6,38,737,7481,1.721454274014921,0.16589430360179033,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ENDOCYTOSIS,KEGG,16,125,737,7481,1.3507596753167022,0.16631881320818795,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_APICAL_SURFACE,Hallmark,5,30,737,7481,1.8355818705409384,0.1675898849470086,0.9614367083802072,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,KEGG,6,41,737,7481,1.5732162032099357,0.21233559009595468,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_HEDGEHOG_SIGNALING_PATHWAY,KEGG,5,33,737,7481,1.6382274751912234,0.2208166421798206,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_CELL_CYCLE,KEGG,9,68,737,7481,1.4006709741140309,0.22311848886786176,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,KEGG,5,34,737,7481,1.5815081132560493,0.2396004494631142,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_HUNTINGTONS_DISEASE,KEGG,8,61,737,7481,1.3853329713275,0.24929759908035362,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_ADIPOGENESIS,Hallmark,14,122,737,7481,1.1897652867528075,0.31386873562153167,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG,3,20,737,7481,1.617189644923691,0.3145690864549257,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_LYSINE_DEGRADATION,KEGG,3,20,737,7481,1.617189644923691,0.3145690864549257,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ENDOMETRIAL_CANCER,KEGG,6,47,737,7481,1.3418332843251504,0.31562887326885103,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,KEGG,4,29,737,7481,1.466533618563543,0.31873995992629534,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_LONG_TERM_DEPRESSION,KEGG,5,39,737,7481,1.3479737367947893,0.33839745846704355,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG,5,39,737,7481,1.3479737367947893,0.33839745846704355,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ADHERENS_JUNCTION,KEGG,7,60,737,7481,1.2105369636947318,0.37836546032403806,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_PEROXISOME,Hallmark,6,51,737,7481,1.2218514395961257,0.3883312154215076,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_COLORECTAL_CANCER,KEGG,6,53,737,7481,1.1695165866712227,0.42480561769023084,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,KEGG,3,24,737,7481,1.3084323263013875,0.42596343211426496,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_HEDGEHOG_SIGNALING,Hallmark,4,34,737,7481,1.2212461012489246,0.43462232489962105,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ALZHEIMERS_DISEASE,KEGG,8,74,737,7481,1.1103214070380079,0.4467497860018179,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_MELANOMA,KEGG,8,74,737,7481,1.1103214070380079,0.4467497860018179,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG,3,25,737,7481,1.2487817919620368,0.4529582296630865,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_BLADDER_CANCER,KEGG,5,46,737,7481,1.116681517511949,0.4793677066707773,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG,3,26,737,7481,1.1943177286460667,0.4794118341606573,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Hallmark,9,87,737,7481,1.0565393761628692,0.49106276041211827,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG,5,47,737,7481,1.0899208999643692,0.4988604249329113,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG,7,70,737,7481,1.01689459422905,0.5423593997465184,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_MTORC1_SIGNALING,Hallmark,12,123,737,7481,0.9890786503323407,0.5593976703652378,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG,9,92,737,7481,0.9921398566118866,0.5607750324659246,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,13,137,737,7481,0.9586113223014151,0.5999795326051958,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,6,64,737,7481,0.9461806301050278,0.6131553817871601,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_VIRAL_MYOCARDITIS,KEGG,3,32,737,7481,0.9464008222669797,0.6233271386115602,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PROSTATE_CANCER,KEGG,7,76,737,7481,0.9276392821707632,0.6317650131949685,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,5,56,737,7481,0.8964187959305205,0.6582291319976945,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG,6,67,737,7481,0.8992425296845205,0.6582605017044802,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_BILE_ACID_METABOLISM,Hallmark,4,46,737,7481,0.8707866481600313,0.6770871613487672,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_WNT_SIGNALING_PATHWAY,KEGG,8,92,737,7481,0.8700759362209195,0.6973645479050996,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_GLIOMA,KEGG,4,49,737,7481,0.8123636131657808,0.7249783412187948,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_SPERMATOGENESIS,Hallmark,5,61,737,7481,0.8157629890274979,0.731189299736038,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_APICAL_JUNCTION,Hallmark,13,151,737,7481,0.85953190735095,0.7371906483035741,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_FOCAL_ADHESION,KEGG,14,163,737,7481,0.8570683942445447,0.7457247256812143,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ERBB_SIGNALING_PATHWAY,KEGG,7,86,737,7481,0.808990791796782,0.756152055924197,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_GAP_JUNCTION,KEGG,3,40,737,7481,0.7409320780282853,0.7688996783005606,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,16,191,737,7481,0.8330509075003307,0.7897333461004263,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_GLUTATHIONE_METABOLISM,KEGG,3,42,737,7481,0.7027221017495675,0.7971533803755781,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_CHRONIC_MYELOID_LEUKEMIA,KEGG,4,56,737,7481,0.7023146014859742,0.815745262721268,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG,3,44,737,7481,0.6682400423334718,0.822460892058342,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_LEISHMANIA_INFECTION,KEGG,4,59,737,7481,0.6637046672507504,0.8463402677066889,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PYRIMIDINE_METABOLISM,KEGG,4,59,737,7481,0.6637046672507504,0.8463402677066889,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_INSULIN_SIGNALING_PATHWAY,KEGG,6,84,737,7481,0.7014960498726862,0.8479691865044741,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG,3,47,737,7481,0.6224009801772454,0.8553452122651485,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_INTERFERON_ALPHA_RESPONSE,Hallmark,4,60,737,7481,0.6517564820130431,0.8555388094919631,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PATHWAYS_IN_CANCER,KEGG,21,259,737,7481,0.8017927840920558,0.857544258320043,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_SMALL_CELL_LUNG_CANCER,KEGG,3,48,737,7481,0.6084802606796732,0.8650595705421337,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_ECM_RECEPTOR_INTERACTION,KEGG,4,62,737,7481,0.6290960258877085,0.8725360994792233,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_TIGHT_JUNCTION,KEGG,4,62,737,7481,0.6290960258877085,0.8725360994792233,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,11,148,737,7481,0.7307312881313636,0.8751310024450812,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_UV_RESPONSE_UP,Hallmark,7,107,737,7481,0.6371283268633954,0.9135047881872698,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_TGF_BETA_SIGNALING_PATHWAY,KEGG,5,82,737,7481,0.5914576411874634,0.9171711457982041,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG,6,99,737,7481,0.5870339102907538,0.9343424653143757,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_MELANOGENESIS,KEGG,3,58,737,7481,0.4971125791480535,0.934623838558237,0.9999993793089779,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
