AptName,Spine_vs_Laparoscopic,Spine_vs_HeadNeck,Laparoscopic_vs_HeadNeck,AveExpr,F,P.Value,adj.P.Val,Target,EntrezGeneSymbol,draw
seq.9867.23,2.5166084195779117,1.5964304805979541,-0.9201779389799576,10.927318670665828,25.642060930842156,6.017408641407312e-5,0.450162340463681,F16P2,FBP2,Venous
seq.16919.1,-1.2510038578759843,0.0784838373214356,1.32948769519742,13.139384669055607,15.74590973977974,5.125717702868546e-4,0.8599705028935503,ACBP,DBI,Venous
seq.23660.112,2.56313445194362,1.7083377216507465,-0.8547967302928736,9.462758203031493,15.660655208323949,5.35698914111621e-4,0.8599705028935503,KLH41,KLHL41,Venous
seq.7892.132,-1.0975915079190735,0.06724100527850041,1.1648325131975739,9.956997144258118,14.712622821673651,6.918494841360625e-4,0.8599705028935503,K1467,FAM234B,Venous
seq.13748.4,0.8494650341120069,-0.23444236414563413,-1.083907398257641,7.858524066737867,14.557005324861064,7.249280575301397e-4,0.8599705028935503,MCP-2,CCL8,Venous
seq.8991.115,-0.6040584066207373,-0.2292134049115795,0.3748450017091578,10.214814559527966,14.21448100388007,7.835563856126238e-4,0.8599705028935503,FCRL4,FCRL4,Venous
seq.21319.196,-0.12889261978685784,-0.5798354740577203,-0.45094285427086245,7.105720197376431,13.369991142103212,0.0010042889863962692,0.8599705028935503,MRM1,MRM1,Venous
seq.19241.31,-1.8175960987545157,0.2046909990913992,2.022287097845915,11.82964519840778,13.340315383486402,0.0010320203268170112,0.8599705028935503,RBP-III,RBP5,Venous
seq.19251.56,-0.1625663433636717,-0.928853161148103,-0.7662868177844313,11.885123724898884,11.783701746293922,0.001651448328279326,0.8599705028935503,Platelet proteoglycan,SRGN,Venous
seq.19279.42,-0.764568201069908,0.17056356135216788,0.9351317624220759,10.530445552666515,11.550827145995132,0.0017832506105920137,0.8599705028935503,CRBP,RBP1,Venous
seq.11590.5,-1.3582558800319067,0.13371978476589064,1.4919756647977973,10.688021009128745,10.553756949512975,0.002544093852306752,0.8599705028935503,RBM23,RBM23,Venous
seq.14636.25,-1.9047540243391232,0.3862228752734165,2.2909768996125397,13.508126103351033,10.444566137706602,0.002643777360638221,0.8599705028935503,Ribonuclease UK114,RIDA,Venous
seq.5252.33,0.09963017413587671,-0.7899988883152602,-0.8896290624511369,11.731818085614295,10.239670340546223,0.002804021309154023,0.8599705028935503,PDE11,PDE11A,Venous
seq.23296.29,-1.9553420656179341,-0.1468668315468431,1.808475234071091,10.627689187346974,10.212911611555185,0.0028708751977285962,0.8599705028935503,SARP-3,SFRP5,Venous
seq.23323.25,1.1555256946378414,0.9954787002930985,-0.1600469943447429,9.37695721052308,10.195749623443897,0.0028885935854052634,0.8599705028935503,DUPD1,DUPD1,Venous
seq.11837.7,0.015086902902397448,-0.8565915868005982,-0.8716784897029957,7.760413864601106,9.688581322851807,0.0034752258321600754,0.8599705028935503,GITR,TNFRSF18,Venous
seq.11352.42,0.43323936054340706,0.5315012203519078,0.09826185980850077,8.99705925278357,9.652969523968325,0.0034755485471058703,0.8599705028935503,TITIN,TTN,Venous
seq.22955.28,-0.8684143110327724,0.08641620675595973,0.9548305177887322,9.262558594990056,9.679600009858929,0.0034868133980493687,0.8599705028935503,CRBP,RBP1,Venous
seq.20511.3,0.12870531443341093,-0.6475408497228958,-0.7762461641563068,7.571666878132107,9.584744013475476,0.0036120097482949865,0.8599705028935503,JAM-A,F11R,Venous
seq.21314.11,-0.5314859362820759,0.16071974710510162,0.6922056833871775,8.850774619184605,9.457901933482775,0.0037481714819795607,0.8599705028935503,UBA5,UBA5,Venous
