pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG,12,56,911,7481,1.9796024923785207,0.03447329649228432,0.3710031010445124,AV_Delta,Spine_vs_Laparoscopic,down,551,AV_Delta · Spine / Laparoscopic · higher in 2nd
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,KEGG,4,11,911,7481,4.133993829343543,0.035673375100433884,0.3710031010445124,AV_Delta,Spine_vs_Laparoscopic,down,551,AV_Delta · Spine / Laparoscopic · higher in 2nd
HALLMARK_MYC_TARGETS_V1,Hallmark,22,125,911,7481,1.55365547625311,0.046783110480901134,0.4561353271887861,AV_Delta,Spine_vs_Laparoscopic,down,551,AV_Delta · Spine / Laparoscopic · higher in 2nd
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,61,210,1194,7481,2.217598342319356,9.159315591400626e-7,1.3647380231186933e-4,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_AXON_GUIDANCE,KEGG,41,127,1194,7481,2.563563884850085,3.2750037237280414e-6,2.4398777741773908e-4,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,74,324,1194,7481,1.5953730723214938,5.995517225702293e-4,0.029777735554321387,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
HALLMARK_TGF_BETA_SIGNALING,Hallmark,14,44,1194,7481,2.4741156573742225,0.006648388441733149,0.23835175096360497,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_TGF_BETA_SIGNALING_PATHWAY,KEGG,22,82,1194,7481,1.9480374179137454,0.007998380904818959,0.23835175096360497,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_HEDGEHOG_SIGNALING_PATHWAY,KEGG,11,33,1194,7481,2.64743334340254,0.01062432024238617,0.24568268302452376,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_HISTIDINE_METABOLISM,KEGG,7,17,1194,7481,3.7007671629821153,0.011542139470950782,0.24568268302452376,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_ECM_RECEPTOR_INTERACTION,KEGG,17,62,1194,7481,2.003311362314212,0.01483950387985779,0.24857909610028275,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG,26,107,1194,7481,1.705373895242945,0.015983780510571668,0.24857909610028275,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,42,192,1194,7481,1.4915386378318822,0.017872458847791043,0.24857909610028275,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,20,78,1194,7481,1.829400057225335,0.018351476893309467,0.24857909610028275,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
HALLMARK_ANGIOGENESIS,Hallmark,12,41,1194,7481,2.1905105872897046,0.022849533622908157,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG,22,91,1194,7481,1.6914515629340106,0.02671104918597515,0.2772986308404696,AV_Delta,Spine_vs_Laparoscopic,up,759,AV_Delta · Spine / Laparoscopic · higher in 1st
