pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,hit_genes,padj,draw,covariate,direction,n_sig_hits,label
KEGG_SPLICEOSOME,KEGG,18,65,738,7481,3.560731596481101,3.649018166352345e-5,HNRNPA1;HSPA1A;MAGOH;MAGOHB;NCBP1;PPIE;RBM17;SNRPA1;SNRPB2,0.004415311981286338,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,7,20,738,7481,4.9555453753735,0.0021699042073033987,ALDOA;G6PD;PGD;PGLS;PRPS1;RPE;RPIA,0.13127920454185563,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_PRION_DISEASES,KEGG,10,39,738,7481,3.1795946302215765,0.003679344595047894,HSPA1A;STIP1,0.14840023200026506,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
HALLMARK_MYC_TARGETS_V1,Hallmark,21,125,738,7481,1.8694018184501635,0.010229991303498255,EEF1B2;EIF2S2;HDGF;HNRNPA1;HNRNPA2B1;HPRT1;HSP90AB1;IMPDH2;NCBP1;PSMA1;PSMA6;SNRPA1;SNRPB2;SRPK1;SSB;UBE2L3;YWHAQ,0.3094572369308222,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,KEGG,4,11,738,7481,5.241981854708752,0.017612690609705686,COASY;PANK3;VNN2,0.41875101735641235,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,28,191,738,7481,1.591853266275304,0.02076451325734276,CDC42;CRKL;FGF6;FGF7;FGF8;HRAS;HSPA1A;MAP2K3;MAPK10;MAPK14;MAPKAPK5;RAC1;RPS6KA1;STMN1,0.41875101735641235,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,7,31,738,7481,2.6803476985118704,0.028340003968144116,G6PD;GCLM;LSP1;MPO;OXSR1;SELENOS;TXNRD1,0.48987721144934826,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,10,54,738,7481,2.0910770668536163,0.036174903475833096,AKR1A1;ALDH3B1;ALDOA;BPGM;ENO1;GAPDH;HK2;LDHB;PKM;TPI1,0.4949299424926793,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_ENDOCYTOSIS,KEGG,19,125,738,7481,1.6544482959019302,0.03681297092920755,AP2B1;CDC42;CHMP2A;CHMP4A;EHD1;EHD4;HRAS;HSPA1A;IL2RG;PDCD6IP;SMURF1,0.4949299424926793,AV_Delta,obese,up,404,AV_Delta · Obese / Non-obese · higher in pos
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,15,78,553,7481,3.037431187778291,4.943380439764794e-4,HSPA1A;HSPA1B;HSPA6;KLRC3;RFX5,0.034965784686487436,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_SPLICEOSOME,KEGG,13,65,553,7481,3.182533041655121,7.857479704828637e-4,HSPA1A;HSPA1B;HSPA6;SF3B4,0.034965784686487436,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_PRION_DISEASES,KEGG,9,39,553,7481,3.8026275557917213,0.0017562290240777127,HSPA1A,0.05210146104763881,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_RNA_DEGRADATION,KEGG,6,22,553,7481,4.736742770289739,0.004256990410961608,DCP1A;DCPS;ENO2;EXOSC8;HSPA9,0.09471803664389578,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_THYROID_CANCER,KEGG,6,24,553,7481,4.209621393293796,0.006767400789678773,CTNNB1;KRAS;TPM3,0.12045973405628216,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,23,191,553,7481,1.7460153220800982,0.013403308235341862,EGF;HSPA1A;HSPA1B;HSPA6;HSPB1;IL1R2;KRAS;PLA2G2E;RASA1;STK4,0.19881573882423761,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_ENDOMETRIAL_CANCER,KEGG,8,47,553,7481,2.5923922949119413,0.020500409095313192,CTNNA1;CTNNB1;EGF;KRAS,0.2606480584975534,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_GAP_JUNCTION,KEGG,7,40,553,7481,2.6781371933277973,0.025545433469144625,EGF;GJD2;GNAI3;KRAS;TJP1,0.2812883958400992,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG,5,24,553,7481,3.316921860544864,0.028444893961358342,ADSS1;GFPT2;GLUD1;GPT,0.2812883958400992,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_TIGHT_JUNCTION,KEGG,9,62,553,7481,2.145612042160526,0.03723596248355708,CTNNA1;CTNNB1;F11R;GNAI3;KRAS;TJP1,0.331400066103658,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_RENIN_ANGIOTENSIN_SYSTEM,KEGG,3,11,553,7481,4.7163667716675395,0.042385156927720845,ANPEP;MME;THOP1,0.3429344515061051,Arterial,hyperglycemia,down,221,Arterial · Hyperglycemia / Normoglycemia · higher in neg
KEGG_SPLICEOSOME,KEGG,26,65,1318,7481,3.1592998219432813,1.6889500693417747e-5,BUD31;DHX38;EIF4A3;HNRNPA1;HSPA1A;HSPA2;LSM3;NCBP1;NCBP2;PPIE;PRPF18;PRPF6;RBM17;SNRPD2;SNRPD3;SNU13,0.0028881046185744346,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_ALLOGRAFT_REJECTION,KEGG,12,30,1318,7481,3.1361545226203313,0.0032326114144684693,FAS;GZMB;IFNG;IL4;TNF,0.18543979410463093,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_BASAL_TRANSCRIPTION_FACTORS,KEGG,6,10,1318,7481,7.038513002249886,0.003253329721133876,GTF2A2;GTF2B;GTF2E1;GTF2E2;TBP;TBPL1,0.18543979410463093,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG,22,74,1318,7481,1.9947797891343746,0.007067280383038746,ANAPC7;CUL3;CUL4B;FANCL;PIAS3;PIAS4;PRKN;SKP1;SKP2;SMURF1;SOCS3;UBA3;UBE2A;UBE2D2;UBE2D3;UBE2F;UBE2H;UBE2J1;UBE2L6;UBE2W;UBE2Z,0.27133474019389336,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG,12,33,1318,7481,2.6868995098855453,0.007933764333154776,FAS;GAD1;GZMB;IFNG;LTA;TNF,0.27133474019389336,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_CELL_CYCLE,KEGG,20,68,1318,7481,1.9628385281049097,0.0112729312277335,ANAPC7;BUB1;CCNH;CDK2;CHEK1;CHEK2;MAD2L1;PTTG1;RBL2;SKP1;SKP2;SMAD2;SMAD3;SMAD4;YWHAB;YWHAQ,0.3212785399904048,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,22,78,1318,7481,1.8510030705249279,0.013543609051071465,CD8B;HSP90AA1;HSP90AB1;HSPA1A;HSPA2;IFNA16;KIR2DL1;KIR2DL4;LTA;PDIA3;PSME1;PSME2,0.33085102110474574,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_ADHERENS_JUNCTION,KEGG,17,60,1318,7481,1.8595262567470539,0.02669912836516296,ACTN1;CDC42;CSNK2A1;CSNK2A2;CTNNA2;NECTIN1;PTPN1;RAC1;RAC3;SMAD2;SMAD3;SMAD4;YES1,0.513769766621603,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG,11,34,1318,7481,2.2464665030104625,0.027040514032715946,FAS;GZMB;IFNG;KIR2DL1;TNF,0.513769766621603,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,KEGG,8,24,1318,7481,2.345844003840207,0.04719476853817998,AQP4;CREB3L1;CREB3L2;DYNLL2;GNAS;NSF;VAMP2,0.8070305420028777,Arterial,hypothermia,down,916,Arterial · Hypothermia / Normothermia · higher in neg
KEGG_AXON_GUIDANCE,KEGG,49,127,1067,7481,3.9091094778751017,7.668222490321871e-12,CXCL12;DCC;EFNA2;EFNA5;EFNB2;EPHA2;EPHA3;EPHA4;EPHA6;EPHA7;EPHB2;EPHB4;EPHB6;L1CAM;LRRC4C;NTN4;PLXNA1;PLXNB2;PLXNC1;ROBO1;ROBO2;SEMA3E;SEMA4B;SEMA4C;SEMA5A;SEMA5B;SEMA6A;SEMA6B;SEMA6D;SEMA7A;SLIT2;UNC5B;UNC5D,9.355231438192683e-10,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG,37,107,1067,7481,3.2548631812895197,8.764272054431073e-8,CADM1;CD274;CD28;CD58;CD86;CD8A;CDH1;CNTN1;ICAM2;ICOSLG;L1CAM;MPZ;NCAM1;NCAM2;NLGN1;NLGN2;NLGN3;NRXN1;NRXN3;SELPLG;SIGLEC1;SPN,5.346205953202955e-6,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,53,210,1067,7481,2.08283431425449,1.4231970069176425e-5,BGN;BMP1;CADM1;CD59;CXCL12;EDIL3;FAS;FBLN1;FBLN5;FMOD;GAS1;GLIPR1;INHBA;MATN3;NT5E;NTM;PDLIM4;PLAUR;POSTN;SFRP4;SLIT2;TGFBI;TNC;TNFRSF11B;TNFRSF12A;VEGFA,5.787667828131746e-4,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,KEGG,22,77,1067,7481,2.4335130678320525,8.065371046919471e-4,C3;CD59;F13B;F7;KNG1;MASP1;PLAUR;PROC;SERPINA5,0.024599381693104386,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,66,324,1067,7481,1.5731008724102618,0.0013397253834070617,ACVRL1;BMP7;CCL11;CCL15;CCL8;CNTFR;CXCL12;CXCL13;FAS;FLT1;FLT4;IFNA8;IFNAR1;IFNGR2;IFNL3;IL11RA;IL17RB;IL18R1;IL1R1;IL2;IL20RA;IL22RA2;IL2RB;IL4R;INHBA;LIFR;PRL;RELT;TNFRSF10B;TNFRSF11B;TNFRSF12A;TNFRSF19;TNFRSF21;VEGFA;VEGFD,0.032689299355132304,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_HEDGEHOG_SIGNALING,Hallmark,12,34,1067,7481,3.304030313217766,0.0017580284568007654,ACHE;CNTFR;L1CAM;NRP2;SHH;VEGFA,0.03574657862161556,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,41,192,1067,7481,1.6573185656500313,0.004444714487495815,ACHE;CCL11;CD247;CD28;CD3E;CD79A;CD86;CD8A;CFP;CRTAM;CTSS;CXCL13;FAS;FCGR2B;GZMA;ICOSLG;IFNGR2;IL2;IL27RA;IL2RB;IL4R;INHBA;LY75;TLR3,0.06870714365645346,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_HEDGEHOG_SIGNALING_PATHWAY,KEGG,11,33,1067,7481,3.0258821443748674,0.004505386469275637,BMP4;BMP5;BMP6;BMP7;GAS1;HHIP;IHH;SHH;WNT5B,0.06870714365645346,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_PRION_DISEASES,KEGG,12,39,1067,7481,2.6903784598969795,0.006348369032499301,HSPA1A;NCAM1;NCAM2,0.08605566910721275,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_APICAL_JUNCTION,Hallmark,32,151,1067,7481,1.6353968797171494,0.012421744773493714,ACTN2;ADAM15;ADAM23;AMIGO1;AMIGO2;BMP1;CADM2;CD274;CD86;CDH1;CNTN1;ICAM2;ICAM5;NECTIN4;NLGN2;NLGN3;SLIT2;TGFBI;TNFRSF11B;YWHAH,0.14287340932137313,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,24,106,1067,7481,1.7766952585596194,0.012882028709304135,ACVRL1;CNTFR;CXCL13;FAS;IFNAR1;IFNGR2;IL17RB;IL18R1;IL1R1;IL4R;TNFRSF12A;TNFRSF21,0.14287340932137313,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG,10,34,1067,7481,2.5184846454326824,0.017074239543766905,CD28;CD86;FAS;IL2;KIR2DL5A,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG,28,133,1067,7481,1.6191200466957059,0.020141601906081327,CD247;CD48;FAS;ICAM2;IFNA8;IFNAR1;IFNGR2;KIR2DL5A;KLRC3;MICA;RAET1G;RAET1L;TNFRSF10B;ULBP2,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_APICAL_SURFACE,Hallmark,9,30,1067,7481,2.5891407390208463,0.02035193793112211,ADAM10;EFNA5;EPHB4;GAS1;IL2RB;MDGA1;PLAUR;SCUBE1,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,18,78,1067,7481,1.8169801227464681,0.02398628053580306,CD8A;CREB1;CTSS;HSPA1A;IFNA8;KIR2DL5A;KLRC3,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_PANCREAS_BETA_CELLS,Hallmark,8,26,1067,7481,2.684015449895126,0.024184533570720725,CHGA;IAPP;INS;SCGN;SPCS1;SST,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG,8,26,1067,7481,2.684015449895126,0.024184533570720725,CD3E;CD79A;CD8A;IGLL1;UNG,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
HALLMARK_ANGIOGENESIS,Hallmark,11,41,1067,7481,2.2163633837026184,0.025149697968561233,JAG1;POSTN;SERPINA5;TNFRSF21;VEGFA,0.17045906400913724,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG,9,33,1067,7481,2.264563797548082,0.03706723580729944,CD28;CD86;FAS;IL2;INS,0.23801067202581747,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG,13,56,1067,7481,1.8272526262021815,0.04818297934264721,ACTN2;C3;CD28;CD86;FCGR2B;H2AC11,0.2904248798905826,Arterial,hypothermia,up,640,Arterial · Hypothermia / Normothermia · higher in pos
KEGG_RIBOSOME,KEGG,11,18,702,7481,15.391726799364823,7.92482131452719e-8,RPL12;RPL26L1;RPL30;RPL5;RPS19;RPS20;RPS25;RPS3;RPS4X;RPS5;RPS7,7.52858024880083e-6,Arterial,male,down,378,Arterial · Male / Female · higher in neg
HALLMARK_MYC_TARGETS_V1,Hallmark,30,125,702,7481,3.140306682606048,9.805872833340113e-7,APEX1;CBX3;CUL1;EIF3B;ERH;H2AZ1;HDAC2;HDGF;HNRNPA1;HNRNPA2B1;HNRNPD;PA2G4;PCNA;PSMA1;PSMA6;PSMA7;RACK1;RPS3;RPS5;RRM1;SNRPA;SNRPA1;SNRPB2;TRA2B;UBE2L3;XRCC6,4.6577895958365535e-5,Arterial,male,down,378,Arterial · Male / Female · higher in neg
KEGG_BASE_EXCISION_REPAIR,KEGG,8,20,702,7481,6.497163996417084,2.6137466646642787e-4,APEX1;HMGB1;MBD4;MPG;PARP1;PCNA,0.00827686443810355,Arterial,male,down,378,Arterial · Male / Female · higher in neg
KEGG_SPLICEOSOME,KEGG,15,65,702,7481,2.9376785480947705,7.943809573340795e-4,DDX39B;HNRNPA1;HNRNPK;MAGOH;MAGOHB;PRPF18;SF3B6;SMNDC1;SNRPA;SNRPA1;SNRPB2;SRSF6;THOC1;TRA2B,0.018866547736684388,Arterial,male,down,378,Arterial · Male / Female · higher in neg
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,9,39,702,7481,2.9209184498443626,0.00866382474394033,CCL27;ICOSLG;IL4;TGFB1;TNFRSF13B,0.16461267013486627,Arterial,male,down,378,Arterial · Male / Female · higher in neg
HALLMARK_G2M_CHECKPOINT,Hallmark,15,86,702,7481,2.062600405961594,0.013155192692388393,CBX1;CCNB2;CUL1;EWSR1;H2AZ1;H2BC12;HNRNPD;JPT1;NCL;PML;TGFB1;TMPO;TRA2B,0.20829055096281623,Arterial,male,down,378,Arterial · Male / Female · higher in neg
KEGG_CELL_CYCLE,KEGG,12,68,702,7481,2.0876184494690944,0.023004396464480215,ANAPC10;CCNB2;CUL1;HDAC2;PCNA;SMC3;TGFB1;TGFB2;TGFB3,0.31220252344651717,Arterial,male,down,378,Arterial · Male / Female · higher in neg
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,40,324,702,7481,1.3817841250886864,0.04204350538966455,ACVRL1;BMPR2;CCL13;CCL20;CCL27;CRLF2;CSF1;CXCL1;CXCL14;EDA2R;GHR;IFNL2;IL12RB1;IL1B;IL22RA1;IL4;IL7R;LEP;TGFB1;TGFB2;TGFB3;TNFRSF10B;TNFRSF13B;TNFRSF8;TNFSF15;TNFSF18;XCL1,0.49926662650226655,Arterial,male,down,378,Arterial · Male / Female · higher in neg
KEGG_P53_SIGNALING_PATHWAY,KEGG,11,42,840,7481,2.82872639974589,0.005415219516424115,ADGRB1;CD82;FAS;SERPINB5;SFN;TNFRSF10B,0.34140393065669294,Arterial,male,up,498,Arterial · Male / Female · higher in pos
KEGG_APOPTOSIS,KEGG,15,67,840,7481,2.303446227334757,0.006381381881433513,CASP10;CSF2RB;EXOG;FAS;IL1A;IL3RA;TNFRSF10B,0.34140393065669294,Arterial,male,up,498,Arterial · Male / Female · higher in pos
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,KEGG,5,15,840,7481,3.9690397928312464,0.02024167232112224,HEXB;ST3GAL1;ST6GALNAC4;ST6GALNAC6,0.7219529794533598,Arterial,male,up,498,Arterial · Male / Female · higher in pos
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,41,210,862,7481,1.9058446633416675,4.306235381523907e-4,ANPEP;BGN;BMP1;CADM1;CRLF1;CXCL12;ENO2;FBLN5;FLNA;FMOD;MATN3;MYL9;NID2;PLOD2;SLIT2;TFPI2;TGFB1;THBS2;TIMP1;TNC;TNFAIP3,0.05856480118872513,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,19,78,862,7481,2.505730607796499,0.0010788062805291957,CD8A;CTSS;HLA-G;HSPA1A;HSPA1B;HSPA5;HSPA6;KLRC3,0.0733588270759853,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,36,191,862,7481,1.8173794368192975,0.001815137989608992,DUSP10;EGF;FGF9;FGFR2;FGFR3;FLNA;HSPA1A;HSPA1B;HSPA6;IL1R2;KRAS;PLA2G1B;PRKCA;RASA1;RRAS;STK4;TGFB1;TGFBR1;TP53,0.08228625552894098,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_PRION_DISEASES,KEGG,11,39,862,7481,3.041971859408363,0.003557343991537272,C1QC;HSPA1A;HSPA5,0.12094969571226726,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_LYSOSOME,KEGG,16,71,862,7481,2.256918629651766,0.005930096753210315,ACP2;CD68;CTSC;CTSH;CTSO;CTSS;MANBA;NAGPA;NEU1;PSAP;SGSH;SMPD1,0.13662056285383084,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
HALLMARK_APICAL_JUNCTION,Hallmark,28,151,862,7481,1.7729290908066007,0.007012501198848405,ADAM9;ALOX15B;AMH;AMIGO2;BMP1;CD209;CD274;CD86;ICAM5;JUP;MYL12B;MYL9;NECTIN1;RASA1;RRAS;SLIT2;VASP;YWHAH,0.13662056285383084,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG,8,26,862,7481,3.4347289835044617,0.007031940735123647,BTK;CD3E;CD79A;CD8A,0.13662056285383084,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,10,39,862,7481,2.6666559152590152,0.010980124199001788,CCL28;CD86;CXCL12;TGFB1;TNFSF13B,0.1659218767849159,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_LONG_TERM_DEPRESSION,KEGG,10,39,862,7481,2.6666559152590152,0.010980124199001788,CRH;IGF1;KRAS;LYN;PLA2G1B;PRKCA,0.1659218767849159,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG,18,91,862,7481,1.9123092762908145,0.014633767224571817,ANPEP;CD1B;CD33;CD3E;CD5;CD8A;CSF3;EPO;IL1R2;IL5RA;THPO,0.1990192342541767,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_P53_SIGNALING_PATHWAY,KEGG,10,42,862,7481,2.415580274259811,0.0185146580109506,ADGRB1;CD82;IGF1;SFN;TNFRSF10B;TP53,0.2211937054495211,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
HALLMARK_ALLOGRAFT_REJECTION,Hallmark,32,192,862,7481,1.556270868694365,0.019517091657310685,AARS1;ACHE;CCL11;CCL19;CCL22;CD3E;CD79A;CD86;CD8A;CSK;CTSS;CXCL13;FLNA;HLA-G;IL27RA;LYN;NCK1;TGFB1;TIMP1,0.2211937054495211,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_ECM_RECEPTOR_INTERACTION,KEGG,13,62,862,7481,2.0528390035109574,0.022364337150146,AGRN;DAG1;THBS2;TNC,0.22441931714914287,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,24,137,862,7481,1.6487931108957163,0.023101988530058827,CCL11;CCL15;CCL19;CCL22;CCL23;CCL28;CCL8;CSK;CXCL12;CXCL13;CXCL2;KRAS;LYN,0.22441931714914287,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_SPLICEOSOME,KEGG,13,65,862,7481,1.933612852648122,0.03205950891592995,HSPA1A;HSPA1B;HSPA6;U2AF2,0.28867191235917494,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,KEGG,6,22,862,7481,2.8920770485150067,0.03396140145402058,IGF1;KRAS;PRKCA;SFN,0.28867191235917494,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,48,324,862,7481,1.3551331094985983,0.03859051326662877,AMH;BMP7;CCL11;CCL15;CCL19;CCL22;CCL23;CCL28;CCL8;CSF3;CXCL12;CXCL13;CXCL2;EGF;EPO;FLT4;IFNLR1;IL13RA1;IL17RB;IL18R1;IL1R2;IL5RA;TGFB1;TGFBR1;TNFRSF10B;TNFRSF18;TNFSF13B,0.30872410613303014,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_TGF_BETA_SIGNALING_PATHWAY,KEGG,15,82,862,7481,1.7316768488235925,0.0458671690526023,AMH;BMP4;BMP5;BMP6;BMP7;NOG;TGFB1;TGFBR1;THBS2,0.3421823758342787,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_ENDOCYTOSIS,KEGG,21,125,862,7481,1.5641223640402762,0.04780489074155364,ARFGAP2;EGF;ERBB3;FGFR2;FGFR3;HGS;HLA-G;HSPA1A;HSPA1B;HSPA6,0.3421823758342787,Arterial,obese,down,482,Arterial · Obese / Non-obese · higher in neg
KEGG_SPLICEOSOME,KEGG,28,65,1141,7481,4.284549164491373,6.404328727881398e-8,BUD31;DDX23;EIF4A3;HNRNPA1;HSPA1A;LSM4;MAGOH;MAGOHB;NCBP1;NCBP2;PPIE;PPIH;RBM17;SMNDC1;SNRPA;SNRPA1;SNRPB2;SRSF7;TRA2B,1.0503099113725493e-5,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,13,31,1141,7481,4.0467586262992965,3.160567217351238e-4,EGLN2;G6PD;GCLM;GLRX;LSP1;MPO;OXSR1;PRDX4;PRNP;PTPA;SELENOS;SOD1;TXNRD1,0.02591665118228015,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_PRION_DISEASES,KEGG,14,39,1141,7481,3.137214989695697,0.0012094306736906491,C6;C7;HSPA1A;PRNP;SOD1,0.06611554349508882,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
HALLMARK_MYC_TARGETS_V1,Hallmark,32,125,1141,7481,1.9381247433262585,0.0016894239060624644,ACP1;CBX3;CDK2;FBL;GLO1;HDAC2;HDGF;HNRNPA1;HNRNPA2B1;HNRNPD;HPRT1;LDHA;NCBP1;NCBP2;PRDX4;PRPS2;PSMA1;PSMA2;PSMA6;RRM1;SNRPA;SNRPA1;SNRPB2;SRSF7;SSB;TCP1;TRA2B,0.06619524303491377,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,17,54,1141,7481,2.5760307618408795,0.002018147653503469,ADH1C;AKR1A1;ALDH1B1;ALDH2;ALDH3B1;BPGM;ENO1;GAPDH;GCK;HK2;LDHA;LDHB;PCK1;PKLR;TPI1,0.06619524303491377,Arterial,obese,up,751,Arterial · Obese / Non-obese · higher in pos
