AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.3799.11,1.831017379243055,0.1487240854345869,4.130905529693149,0.0010962259147501779,0.536466336451943,-3.911578016249041,Carbonic anhydrase III,CA3,Laparoscopic_vs_HeadNeck
seq.25235.2,0.660569465529248,-0.013676068866632196,4.118272537833112,0.0011230188006428321,0.536466336451943,-3.9138218104892104,DPH7,DPH7,Laparoscopic_vs_HeadNeck
seq.12483.62,0.42347723650725116,2.9767368217026302e-5,3.70485790898034,0.002492939908150179,0.536466336451943,-3.9915665075228253,RORB,RORB,Laparoscopic_vs_HeadNeck
seq.11241.8,0.4939477408358397,0.03323345231606215,3.5960873990008215,0.00308073190729656,0.536466336451943,-4.013415089074155,ARLY,ASL,Laparoscopic_vs_HeadNeck
seq.15526.33,1.0321869694126091,0.18093275241757878,3.5926663871661946,0.0031013428486784504,0.536466336451943,-4.014111599096854,GSHB,GSS,Laparoscopic_vs_HeadNeck
seq.3522.57,0.6645613574994778,-0.024340749437308535,3.583913231186813,0.003154716515892366,0.536466336451943,-4.015896301312185,Vasoactive Intestinal Peptide,VIP,Laparoscopic_vs_HeadNeck
seq.11468.15,1.1679767772858565,0.10518226541367603,3.5540574519619446,0.003343856708664529,0.536466336451943,-4.022011524390185,RBM19,RBM19,Laparoscopic_vs_HeadNeck
seq.23664.17,-0.6599032171242003,0.03555741576977919,-3.5027621308978083,0.0036959859202321623,0.536466336451943,-4.032618251182552,RTKN,RTKN,Laparoscopic_vs_HeadNeck
seq.21290.66,1.153549924831484,0.23692789344006662,3.466087547049807,0.003970489485475322,0.536466336451943,-4.040278830180885,HUS1,HUS1,Laparoscopic_vs_HeadNeck
seq.17210.2,-1.026433922596245,0.04614774575480377,-3.4143499407485933,0.004393054875325984,0.536466336451943,-4.0511940663651105,TCL1A,TCL1A,Laparoscopic_vs_HeadNeck
seq.13447.42,0.5871969608828548,-0.12565800121040413,2.8093816826665066,0.014325611575623134,0.9987520320773822,-4.09201870125125,SPRN,SPRN,Spine_vs_HeadNeck
seq.19614.8,0.6628958460542037,-0.2522959391240544,2.6025006453685013,0.0213701515420258,0.9987520320773822,-4.15404675305926,Holo-TC I,TCN1,Spine_vs_HeadNeck
seq.21116.13,-0.4301059606244601,0.07807125920931823,-2.5743330065675276,0.022558277761201583,0.9987520320773822,-4.162591614327005,EED,EED,Spine_vs_HeadNeck
seq.19381.7,-0.29011786963689956,-0.023854329014175057,-2.464412788797251,0.02783397631177274,0.9987520320773822,-4.196110173307845,RGS21,RGS21,Spine_vs_HeadNeck
seq.9172.69,0.9794127144153391,-0.4730352413834031,2.36717225949836,0.03347077898888104,0.9987520320773822,-4.225936357819998,MMP-8,MMP8,Spine_vs_HeadNeck
seq.10506.53,-0.4456324147181795,0.10811291646269676,-2.2748001548436028,0.039818840024417594,0.9987520320773822,-4.2543530014329995,PGRC2,PGRMC2,Spine_vs_HeadNeck
seq.9893.27,-0.43868418991260055,0.15740720889413104,-2.212375900401629,0.044735370846833815,0.9987520320773822,-4.273568594744063,Ornithine decarboxylase antizyme,OAZ1,Spine_vs_HeadNeck
seq.21761.213,-0.2638828271285628,0.056459008190009964,-2.2099259878756214,0.044939501414065844,0.9987520320773822,-4.274322555007631,UBP46,USP46,Spine_vs_HeadNeck
seq.11986.30,0.36383488107700124,-0.08357681335902756,2.183868119459535,0.04716539713907494,0.9987520320773822,-4.282339977748744,Fc_MOUSE,,Spine_vs_HeadNeck
seq.18317.111,-0.4740580743845772,0.06113092944993707,-2.1662197460001025,0.04873110200985477,0.9987520320773822,-4.287767465361973,ZFAN5,ZFAND5,Spine_vs_HeadNeck
seq.25235.2,-0.6656400730206109,-0.013676068866632196,-4.340053485321335,7.366496121089921e-4,0.27155296171103477,-3.818398138806658,DPH7,DPH7,Spine_vs_Laparoscopic
seq.11241.8,-0.5385904199071291,0.03323345231606215,-4.100783977870258,0.0011612219989079616,0.27155296171103477,-3.863296721365485,ARLY,ASL,Spine_vs_Laparoscopic
seq.21290.66,-1.2368556861351538,0.23692789344006662,-3.886701569926977,0.001752618358037665,0.27155296171103477,-3.9060091103234384,HUS1,HUS1,Spine_vs_Laparoscopic
seq.3364.76,0.9180490458328325,-0.23184636089274457,3.88623803770164,0.0017541881269504793,0.27155296171103477,-3.90610421835548,Cathepsin V,CTSV,Spine_vs_Laparoscopic
seq.15526.33,-1.0517972614688904,0.18093275241757878,-3.828684564054525,0.001960671065989589,0.27155296171103477,-3.9180014466675726,GSHB,GSS,Spine_vs_Laparoscopic
seq.10752.8,1.0696054419656584,-0.13974498803824797,3.8240705593165427,0.0019782610872656034,0.27155296171103477,-3.9189628235172504,CDYL2,CDYL2,Spine_vs_Laparoscopic
seq.13986.6,-0.9604836168341752,-0.08934094163665247,-3.7610699678530173,0.002235159668010675,0.27155296171103477,-3.9322022470513316,LANC1,LANCL1,Spine_vs_Laparoscopic
seq.3894.15,-1.5595877172885388,0.29620121529763593,-3.7313656791611125,0.0023678145862670104,0.27155296171103477,-3.9385172194181495,NAGK,NAGK,Spine_vs_Laparoscopic
seq.11381.56,-0.887573325236232,0.022238494155588057,-3.6241557813290703,0.002916776243127942,0.27155296171103477,-3.9616953039318505,PRPS1,PRPS1,Spine_vs_Laparoscopic
seq.8449.103,-0.5918585480970786,0.07012295497296805,-3.588887511486783,0.00312427210628724,0.27155296171103477,-3.9694514616911842,EXE4_HELSU,,Spine_vs_Laparoscopic
