AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.4217.49,0.39025337319405745,12.262982378259315,2.294404741384136,0.03845435773432646,0.496651307527927,-3.706990979347183,ERAB,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,3028,Q99714,20,Arterial > Venous,TRUE,FALSE
seq.12469.19,0.5756550174509998,13.568403648144072,2.293858482248196,0.03849372050260214,0.496651307527927,-3.707502104504157,MARE1,Microtubule-associated protein RP/EB family member 1,MAPRE1,22919,Q15691,0.5,Arterial > Venous,TRUE,FALSE
seq.20976.19,0.17727423047424812,10.447085533035187,2.2903790441594465,0.03856625652806017,0.496651307527927,-3.7088545583159855,LSM3,U6 snRNA-associated Sm-like protein LSm3,LSM3,27258,P62310,20,Arterial > Venous,TRUE,FALSE
seq.6221.1,-0.16242970824611164,10.104170161789872,-2.2891321155234627,0.03862133716371913,0.496651307527927,-3.7096496067657583,ADPGK,ADP-dependent glucokinase,ADPGK,83440,Q9BRR6,20,Venous > Arterial,TRUE,FALSE
seq.12740.55,0.21059668469657947,9.285894716065203,2.29153672822173,0.038661448815434145,0.496651307527927,-3.709674295223034,FEV,Protein FEV,FEV,54738,Q99581,20,Arterial > Venous,TRUE,FALSE
seq.20934.13,0.29846023933869176,9.8417479140892,2.2911868431792994,0.03868678507386548,0.496651307527927,-3.710001608301387,RAB24,Ras-related protein Rab-24,RAB24,53917,Q969Q5,20,Arterial > Venous,TRUE,FALSE
seq.11457.53,0.27700936947927374,9.21353025797751,2.2905750032208996,0.03873112803134801,0.496651307527927,-3.7105739560804136,GALE,UDP-glucose 4-epimerase,GALE,2582,Q14376,0.5,Arterial > Venous,TRUE,FALSE
seq.25912.131,-0.33140605203571405,9.520035188944748,-2.290285620706851,0.0387521176961253,0.496651307527927,-3.7108446506892276,FK506 binding protein 1A,FK506 binding protein 1A,FKBP1A,2280,P62942,20,Venous > Arterial,TRUE,FALSE
seq.4666.225,-0.4598501404356305,10.646234480779627,-2.289869672889115,0.038782306309616474,0.496651307527927,-3.7112337267724387,No Protein,No protein,,,,20,Venous > Arterial,TRUE,FALSE
seq.13983.27,-0.24072710930943833,12.156414553095077,-2.2875040202888552,0.03879545872746031,0.496651307527927,-3.711769465704901,QOR,Quinone oxidoreductase,CRYZ,1429,Q08257,20,Venous > Arterial,TRUE,FALSE
seq.9361.7,-0.16729327462630963,9.349481306876372,-2.28840364388051,0.038813933771296306,0.496651307527927,-3.7118136255054752,PCDC2,Protocadherin alpha-C2,PCDHAC2,56134,Q9Y5I4,20,Venous > Arterial,TRUE,FALSE
seq.5242.37,-0.14985438546245491,14.40275520598919,-2.2851085321833544,0.038873703157655294,0.496651307527927,-3.7130001750826276,MP2K4,Dual specificity mitogen-activated protein kinase kinase 4,MAP2K4,6416,P45985,0.5,Venous > Arterial,TRUE,FALSE
seq.24294.13,-0.15522679564718,8.346336339123134,-2.287548494301486,0.03889698721993623,0.496651307527927,-3.712833900972783,CTF8,Chromosome transmission fidelity protein 8 homolog,CHTF8,54921,P0CG13,20,Venous > Arterial,TRUE,FALSE
seq.22816.4,0.3071265190148492,9.527474916773402,2.2855220870157114,0.03909917828102164,0.496651307527927,-3.715299702595944,TRI54,Tripartite motif-containing protein 54,TRIM54,57159,Q9BYV2,0.5,Arterial > Venous,TRUE,FALSE
seq.12653.13,0.1702665602004139,9.072694146719888,2.283676702206594,0.03923322819427011,0.496651307527927,-3.717012749398425,CSNK1G2,Casein kinase I isoform gamma-2,CSNK1G2,1455,P78368,20,Arterial > Venous,TRUE,FALSE
