AptName,Spine_vs_Laparoscopic,Spine_vs_HeadNeck,Laparoscopic_vs_HeadNeck,AveExpr,F,P.Value,adj.P.Val,Target,EntrezGeneSymbol,draw
seq.9867.23,2.8934235447051737,1.9261966075803034,-0.9672269371248703,10.849414070788766,53.390653029003715,1.1574391630554214e-6,0.008658802378817608,F16P2,FBP2,Arterial
seq.25245.22,-2.0708869511233132,-0.2325718186357495,1.8383151324875637,11.135636777585722,35.00140853187753,9.889787679470536e-6,0.03699275081505954,RIC8A,RIC8A,Arterial
seq.2836.68,-2.321539784128838,0.2925506992368003,2.614090483365638,10.694039883668532,24.9687760019691,5.565402565042702e-5,0.1250485677960088,Lipocalin 2,LCN2,Arterial
seq.5731.1,-1.1122630032596508,0.14315440587547457,1.2554174091351253,9.340989294049434,22.589050668289588,8.735460846610192e-5,0.1250485677960088,ISK6,SPINK6,Arterial
seq.23272.8,-2.9285517091852586,-0.30917636094183365,2.619375348243425,10.903498459940584,22.268259640039968,9.579042188923202e-5,0.1250485677960088,DPCD,DPCD,Arterial
seq.20175.17,-0.9011232806430325,0.007745678722796967,0.9088689593658295,9.687476526040209,21.859036749810258,1.0029292965860886e-4,0.1250485677960088,CO9A3,COL9A3,Arterial
seq.5699.19,2.0254310048236075,-0.06157338783709854,-2.087004392660706,11.396102829594021,20.563390253047835,1.387170627126391e-4,0.14824890659332188,CI061,FAM189A2,Arterial
seq.13093.6,-0.9728440078667848,-0.0761171971732022,0.8967268106935826,9.832125817385624,18.902925791392768,1.9647875478605358e-4,0.18373219556930834,SECTM1,SECTM1,Arterial
seq.11342.59,0.34219564639519096,-0.6575704299290663,-0.9997660763242573,7.634363913892799,18.214398154856596,2.3244212689125206e-4,0.1917022655460064,PXDC2,PLXDC2,Arterial
seq.17766.5,-2.8215766636723902,1.113836097505434,3.9354127611778242,11.380108663465137,17.685978783159626,2.7452039286681134e-4,0.1917022655460064,NCF-1,NCF1,Arterial
seq.3329.14,-1.7023167570278375,1.4618037667872255,3.164120523815063,10.730669141490525,17.224185916138094,3.0866810696305745e-4,0.1917022655460064,PGRP-S,PGLYRP1,Arterial
seq.21237.24,-1.4425658009635196,1.797806697864095,3.2403724988276146,13.08765380933859,16.98970148938816,3.2789581550244875e-4,0.1917022655460064,PADI4,PADI4,Arterial
seq.10557.6,-1.021280724365278,-0.06957523067663551,0.9517054936886424,9.259053696200802,16.584720798610856,3.568774186988189e-4,0.1917022655460064,TEX29,TEX29,Arterial
seq.9844.138,3.9932692203041356,2.636431643488759,-1.3568375768153764,10.478672991747692,16.64199184173063,3.5904652548303856e-4,0.1917022655460064,ACTN2,ACTN2,Arterial
seq.2953.31,-2.305883280414898,0.1470468203656079,2.452930100780506,10.837740369973112,16.19132012647162,4.047155294006989e-4,0.1917022655460064,Luteinizing hormone,CGA|LHB,Arterial
seq.5491.12,2.06238162246213,0.41879484205292883,-1.6435867804092013,12.888909393036963,15.550624467847538,4.78004253984303e-4,0.1917022655460064,Testican-2,SPOCK2,Arterial
seq.12764.3,0.15456911488378466,-0.8673863053629569,-1.0219554202467416,8.235647826253599,15.202689960615523,5.309211831601531e-4,0.1917022655460064,ELMO1,ELMO1,Arterial
seq.5741.55,-3.469029475495642,1.2026999220454062,4.671729397541048,11.144900409553342,15.175124633278546,5.350511305816223e-4,0.1917022655460064,ECP,RNASE3,Arterial
seq.10721.76,1.876948138150457,1.1893293632508044,-0.6876187748996525,12.594351225998219,14.914368606262029,5.685218902576512e-4,0.1917022655460064,HSP 70,HSPA1A,Arterial
seq.8235.48,-0.8710003580913774,0.14580602525540165,1.016806383346779,9.312650396557196,14.873880130959186,5.716556120203666e-4,0.1917022655460064,SCG1,CHGB,Arterial
seq.21193.1,-0.11036328884410196,-0.9846332559770961,-0.8742699671329941,8.372280896062263,14.929980150959054,5.734793345021329e-4,0.1917022655460064,TFB2M,TFB2M,Arterial
seq.10803.22,1.3840142691963742,0.7075827309993628,-0.6764315381970114,11.42964165402889,14.252946138643733,6.783491670054242e-4,0.1917022655460064,HSP 70,HSPA1A,Arterial
seq.13748.4,1.3264716174536488,5.835242246341465e-4,-1.3258880932290147,7.719583240416135,14.276882158189764,6.926735808340826e-4,0.1917022655460064,MCP-2,CCL8,Arterial
seq.9910.9,-1.0513235411824269,0.15525454345820222,1.206578084640629,9.79679169274043,14.27668144700707,6.927144265301164e-4,0.1917022655460064,MTAP,MTAP,Arterial
seq.23660.112,2.8456450621306084,2.09950921457966,-0.7461358475509483,9.370007745460176,13.914403519052364,7.712528719440557e-4,0.1917022655460064,KLH41,KLHL41,Arterial
seq.7008.13,2.0723580128748758,0.5375740541951171,-1.5347839586797587,13.863749124953317,13.750885531913392,8.10081804720269e-4,0.1917022655460064,F176C,EVA1C,Arterial
seq.16919.1,-1.544373332919914,-0.10198858256145371,1.4423847503584604,13.28607136641997,13.45113987156317,8.642336080404674e-4,0.1917022655460064,ACBP,DBI,Arterial
seq.7893.19,-1.4665235647151658,1.1031997759644092,2.569723340679575,10.969990304883915,13.52664943471659,8.671054449403727e-4,0.1917022655460064,OLR1,OLR1,Arterial
seq.3799.11,-0.7261526643607823,2.980864474074899,3.707017138435681,12.173526945685515,13.367854635765081,9.103316498386964e-4,0.1917022655460064,Carbonic anhydrase III,CA3,Arterial
seq.23673.9,-0.2514218102024266,-1.1728670811462667,-0.9214452709438401,9.973393833232047,13.355033657735216,9.139302544783869e-4,0.1917022655460064,ODB2,DBT,Arterial
seq.10749.18,1.6912461224135065,0.8849013178949221,-0.8063448045185844,11.570615645654861,13.210514145165732,9.491128459557714e-4,0.1917022655460064,HSP 70,HSPA1A,Arterial
seq.25086.83,0.24794493724614242,-0.7352287967565179,-0.9831737340026603,8.915820554314466,13.207832024481096,9.547609751285965e-4,0.1917022655460064,GRM2B,GRAMD2B,Arterial
seq.17699.43,1.071541726927884,0.08485403384589674,-0.9866876930819872,7.685570180209116,13.211069650638423,9.555009926669919e-4,0.1917022655460064,TIMELESS,TIMELESS,Arterial
seq.25209.15,-1.0250111646560995,-0.21136804385047014,0.8136431208056294,11.022565859143333,13.121007264941452,9.576415462402103e-4,0.1917022655460064,ATNG,FXYD2,Arterial
seq.23258.56,0.7985154242225878,-0.25923202630790776,-1.0577474505304956,9.956083509387387,13.003523291060544,9.936894237388325e-4,0.1917022655460064,COA7,COA7,Arterial
seq.18901.26,1.8254696974733111,0.8016886719378782,-1.023781025535433,12.827016258901496,13.00525116436128,0.001005531855328016,0.1917022655460064,HS71B,HSPA1B,Arterial
seq.6563.78,1.3469670976207748,0.9814031377355761,-0.36556395988519874,11.108215664749606,12.863199570757718,0.001050759117401955,0.1917022655460064,HSP 70,HSPA1A,Arterial
seq.19261.12,-2.958282041248843,0.07446217512139164,3.0327442163702347,10.116470547532758,12.905034161085835,0.0010514392551304464,0.1917022655460064,SDCB2,SDCBP2,Arterial
seq.7050.5,-0.6048873867414422,0.0866657869249412,0.6915531736663834,9.194259559726211,12.796129377802018,0.001061263769503857,0.1917022655460064,NEGR1,NEGR1,Arterial
seq.8973.23,1.6368724085390083,0.1912685417715867,-1.4456038667674216,9.122467766848528,12.796783625476008,0.0010880379324244838,0.1917022655460064,FCRL4,FCRL4,Arterial
seq.6107.3,2.129792153294183,0.5044962559557966,-1.6252958973383862,14.203101629911894,12.78868045918201,0.0010908369290397028,0.1917022655460064,ELA1,CELA1,Arterial
seq.23523.14,-1.4534004414377435,0.37267401073457407,1.8260744521723176,11.35299751398005,12.702537840926274,0.0011211184396364808,0.1917022655460064,FA49A,CYRIA,Arterial
seq.14079.14,1.5006028979951118,0.5476071437082943,-0.9529957542868175,11.097968489431054,12.651932962019874,0.0011266992595589276,0.1917022655460064,IL-18 Ra,IL18R1,Arterial
seq.13701.2,1.2306757673450726,0.5111171161051686,-0.7195586512399039,9.883632175701814,12.684703912533454,0.001127509648980655,0.1917022655460064,BLC,CXCL13,Arterial
seq.9185.15,2.5431581354685537,0.9795479998145531,-1.5636101356540006,10.981136223174756,12.44739182700525,0.0012167422247755248,0.19890785960612586,TFF1,TFF1,Arterial
seq.3487.32,0.9806447636235323,0.42903579609672526,-0.551608967526807,8.845995641624429,12.426923169511515,0.0012230666410749619,0.19890785960612586,BLC,CXCL13,Arterial
seq.20511.3,0.686209680280844,-0.6569184437730433,-1.3431281240538873,7.635812465455149,12.315541142851448,0.0012698776819664655,0.19910566745399766,JAM-A,F11R,Arterial
seq.16780.6,1.5087573855088738,0.7184670260935953,-0.7902903594152786,13.24486945462226,12.182850220535009,0.001294785081942235,0.19910566745399766,HSP 70,HSPA1A,Arterial
seq.14134.49,1.195210642584403,-0.18918361813752682,-1.3843942607219297,8.971568018682163,12.233924421243481,0.001304127483658052,0.19910566745399766,AMGO2,AMIGO2,Arterial
seq.6324.11,1.4786810540984163,1.0974255708048926,-0.38125548329352377,11.584666883538182,12.083772392767457,0.0013554587389599246,0.20013638077025506,DNSL2,DNASE1L2,Arterial
seq.3636.37,-1.503628927854523,1.5757532776397323,3.0793822054942552,10.946307197968594,12.096238786880122,0.00136438382826935,0.20013638077025506,OLR1,OLR1,Arterial
seq.9126.171,0.01829836300937515,-1.911444865263812,-1.9297432282731872,8.803984356922964,11.838768449512191,0.0014860191224629097,0.21120745142513206,NT5D3,NT5DC3,Arterial
seq.6289.78,-1.0258451132386632,0.1845387314656044,1.2103838447042676,9.847357320930781,11.76324896023017,0.00152406917060146,0.21120745142513206,RHG36,ARHGAP36,Arterial
seq.11154.3,-1.1321136743878544,-1.1261677249440645,0.0059459494437899,9.479256360628458,11.688934700066742,0.0015626277939277057,0.21120745142513206,NF2L1,NFE2L1,Arterial
seq.25253.17,-0.9435850397157743,0.03565149936051348,0.9792365390762878,10.394118142423219,11.608475244109833,0.0015695587959102036,0.21120745142513206,GNAS,GNAS|GNAS,Arterial
seq.19237.17,-1.1386529748272327,-0.0836549969213145,1.0549979779059182,10.09707422391003,11.654236555582735,0.0015810208902295676,0.21120745142513206,D-dopachrome decarboxylase,DDT,Arterial
seq.9169.14,-2.400060827290872,-0.6692871908940301,1.730773636396842,10.975231326449515,11.536209032685688,0.001645507454476828,0.21358374090079094,SUMO3,SUMO3,Arterial
seq.21344.31,-0.3198909113171471,-1.4698193979855727,-1.1499284866684256,9.325445275894918,11.517677661934519,0.0016559092330231085,0.21358374090079094,TFB1M,TFB1M,Arterial
seq.3446.7,1.4652227529691206,0.6823888387921215,-0.7828339141769991,12.030071747482408,11.37231059542812,0.0017019118854969637,0.2157966578881828,IL-18 Ra,IL18R1,Arterial
seq.13686.2,0.6669624997384034,-0.42167507761542034,-1.0886375773538237,9.965116525887366,11.192969381677864,0.0018315301931042642,0.22247825022779458,IL-5 Ra,IL5RA,Arterial
seq.3339.33,1.4877555806642242,0.1397976135912682,-1.347957967072956,12.340119754038538,11.165180629635259,0.0018360743280019076,0.22247825022779458,TSP2,THBS2,Arterial
seq.11286.78,-1.8517520638589815,0.14856469523904892,2.0003167590980304,9.36409990794636,11.20457312467749,0.0018438245574285876,0.22247825022779458,SELS,SELENOS,Arterial
seq.19601.15,1.5619318900775436,0.7052863456717251,-0.8566455444058185,11.357817286511752,11.055794469979128,0.001941787726320046,0.23057958699365497,ASB9,ASB9,Arterial
seq.20111.5,-0.7198053109424016,0.22678151151941428,0.9465868224618159,10.270439016005469,10.815739536278054,0.0020688355914378516,0.23709627113545817,BASP,BASP1,Arterial
seq.13998.26,2.0303790618235436,1.5802807215866643,-0.4500983402368792,10.093711699461403,10.729452981676614,0.0021787777825422023,0.23709627113545817,PURA1,ADSS1,Arterial
seq.16785.45,-0.7235706144325054,0.714743570403698,1.4383141848362033,11.751961621934589,10.667756334063561,0.002181436831349069,0.23709627113545817,HD-5,DEFA5,Arterial
seq.7717.95,0.32281842453957843,-0.6580029427154699,-0.9808213672550483,9.799656323580484,10.664346341897058,0.00220712613912187,0.23709627113545817,CFTR,CFTR,Arterial
seq.24490.16,1.5039633698844952,0.3016781642891999,-1.2022852055952953,11.07417301673189,10.679077844291372,0.0022182983558835427,0.23709627113545817,THAP4,THAP4,Arterial
seq.5879.51,-0.5835772373775505,0.18407465272175472,0.7676518900993052,9.7504821922153,10.550893056351397,0.0022754326100006893,0.23709627113545817,Dynactin subunit 2,DCTN2,Arterial
seq.3795.6,0.6882205942950712,-0.5752092695462636,-1.2634298638413348,9.953957520734162,10.5570767827544,0.002317532779706495,0.23709627113545817,ADAM 9,ADAM9,Arterial
seq.5801.72,0.9259341028203618,0.46126911393383274,-0.4646649888865291,8.359127616984653,10.507049764389285,0.0023597174834549756,0.23709627113545817,b-NGF,NGF,Arterial
seq.12894.3,-0.904589718771394,0.07954847778863972,0.9841381965600338,10.482387926830974,10.35141913870825,0.00244702108868107,0.23709627113545817,PAXI1,PAXIP1,Arterial
seq.5430.66,2.6088677072583035,1.957827660589496,-0.6510400466688075,11.128958293965717,10.382660163153318,0.0024685556317399116,0.23709627113545817,SHPS1,SIRPA,Arterial
seq.13130.150,-1.3672192438680462,0.6209165809533683,1.9881358248214145,10.897167840818838,10.368281030120436,0.0024815113839622214,0.23709627113545817,HXK2,HK2,Arterial
seq.3365.7,1.2388294967835733,-0.1975413994773163,-1.4363708962608897,11.602309175602128,10.313321983798623,0.0025090081395264478,0.23709627113545817,Dkk-4,DKK4,Arterial
seq.14337.1,-1.0757620935163938,0.012563434823935182,1.088325528340329,10.41447828579147,10.320956476680472,0.0025209303934582723,0.23709627113545817,TPPC3,TRAPPC3,Arterial
seq.2982.82,-0.9791625001944251,-0.1879634504225116,0.7911990497719135,9.457464912274007,10.282500414288005,0.002560472097370812,0.23709627113545817,Galectin-4,LGALS4,Arterial
seq.9830.109,-0.970453631091285,-0.13069615770857013,0.8397574733827149,10.642882098151887,10.223388690400514,0.0025651141598189322,0.23709627113545817,VAV3,VAV3,Arterial
seq.18376.19,1.7638193247159855,1.5833894069165844,-0.1804299177994011,9.661259729237601,10.271861500300762,0.0025704683661906475,0.23709627113545817,Myosin light chain 1,MYL3,Arterial
seq.9863.1,0.01822927099711258,-0.7738902681225195,-0.7921195391196321,8.522932644799264,10.25875091154864,0.0025828497920958745,0.23709627113545817,Tropomyosin 4,TPM4,Arterial
seq.19176.27,-2.109571083556771,-0.11297498563922481,1.9965960979175463,11.37114627343096,10.194019205699824,0.002645012221308304,0.23709627113545817,FA49B,CYRIB,Arterial
seq.17224.12,-0.8644860919458122,0.4184866974306356,1.2829727893764478,11.88749081830615,10.094556976383009,0.0026907141481035237,0.23709627113545817,MIME,OGN,Arterial
seq.11918.54,1.702972520868844,0.43399678999933755,-1.2689757308695064,10.052637770103134,10.13348098109994,0.002704734733474933,0.23709627113545817,Fc_MOUSE,,Arterial
seq.11468.15,-1.2001034975424663,0.20333588481459586,1.4034393823570621,10.320777786187264,10.012233832674456,0.002829152296948489,0.23709627113545817,RBM19,RBM19,Arterial
seq.3042.7,1.6596522200283914,0.743931729181643,-0.9157204908467484,11.141569546670617,10.006038096697118,0.002835687560415134,0.23709627113545817,Myoglobin,MB,Arterial
seq.12838.28,1.0254740985691235,0.4358365870175529,-0.5896375115515706,7.632555983832847,9.98209245087542,0.0028611118024522743,0.23709627113545817,DUS15,DUSP15,Arterial
seq.23649.6,-0.8166955809036214,0.1177592677665249,0.9344548486701463,9.332848699068991,9.959147741541111,0.0028857235009699103,0.23709627113545817,KLHL2,KLHL2,Arterial
seq.10613.33,1.546278222265519,-0.037773366615198256,-1.5840515888807172,9.93532391995103,9.926717265916292,0.0029209333054347093,0.23709627113545817,CASC4,GOLM2,Arterial
seq.12422.143,1.1336031455099915,0.06690366929269942,-1.066699476217292,8.268283050409668,9.889792654163287,0.0029616352159772706,0.23709627113545817,LX15B,ALOX15B,Arterial
seq.9900.36,0.38671304425618835,-0.7195314488500291,-1.1062444931062174,9.24127217715073,9.857726222132818,0.0029975204044825326,0.23709627113545817,NFH,NEFH,Arterial
seq.8070.88,0.24288663643907604,-0.9846130064124843,-1.2274996428515603,8.463264663934359,9.848579364087689,0.003007849506631655,0.23709627113545817,DLG4,DLG4,Arterial
